Scientific name,Common name,"IUCN Red List(2006)Category","IUCN RedList (2007)Category",Reason for change,"Red Listversion"
MAMMALS,,,,,
Cephalophus spadix,Abbott’s Duiker,VU,EN,G,2007
Gazella spekei,Speke’s Gazelle,VU,EN,G,2007
Gorilla gorilla,Western Gorilla,EN,CR,G,2007
Lipotes vexillifer,Baiji,CR,CR (PE),G,2007
Mazama chunyi,Dwarf Brocket Deer,DD,VU,N,2007
Procapra picticaudata,Tibetan Gazelle,LC,NT,G,2007
BIRDS,,,,,
Ardea insignis,White-bellied Heron,EN,CR,N,2007
Aythya innotata,Madagascar Pochard,CR (PE),CR,N,2007
Brachypteryx hyperythra,Rusty-bellied Shortwing,VU,NT,N,2007
Branta ruficollis,Red-breasted Goose,VU,EN,G,2007
Charadrius pallidus,Chestnut-banded Plover,LC,NT,N,2007
Charadrius sanctaehelenae,St Helena Plover,VU,CR,G,2007
Chthonicola sagittatus,Speckled Warbler,NT,LC,N,2007
Cinclodes pabsti,Long-tailed Cinclodes,LC,NT,N,2007
Coeligena orina,Dusky Starfrontlet,LC,CR,N,2007
Corvus unicolor,Banggai Crow,CR (PE),CR,N,2007
Euphagus carolinus,Rusty Blackbird,LC,VU,N,2007
Eurystomus azureus,Purple Dollarbird,VU,NT,N,2007
Ficedula henrici,Damar Flycatcher,VU,NT,N,2007
Francolinus streptophorus,Ring-necked Francolin,LC,NT,N,2007
Gallicolumba crinigera,Mindanao Bleeding-heart,EN,VU,N,2007
Garrulax courtoisi,Blue-crowned Laughingthrush,LC,CR,N,2007
Gypopsitta pyrilia,Saffron-headed Parrot,VU,NT,N,2007
Gyps africanus,White-backed Vulture,LC,NT,N,2007
Gyps rueppellii,Rueppell’s Vulture,LC,NT,N,2007
Heteromirafra sidamoensis,Sidamo Lark,VU,EN,N,2007
Heteromunia pectoralis,Pictorella Munia,NT,LC,N,2007
Houbaropsis bengalensis,Bengal Florican,EN,CR,G,2007
Macroagelaius subalaris,Mountain Grackle,CR,EN,N,2007
Macronectes giganteus,Southern Giant-petrel,VU,NT,N,2007
Melamprosops phaeosoma,Poo-uli,CR,CR (PE),N,2007
Neophron percnopterus,Egyptian Vulture,LC,EN,G,2007
Oxyura maccoa,Maccoa Duck,LC,NT,N,2007
Pelecanus philippensis,Spot-billed Pelican,VU,NT,N,2007
Penelopina nigra,Highland Guan,NT,VU,N,2007
Phapitreron cinereiceps,Tawitawi Brown-dove,CR,EN,N,2007
Phoebastria irrorata,Waved Albatross,VU,CR,G,2007
Procellaria conspicillata,Speckled Petrel,CR,VU,N,2007
Psittacula eques,Mauritius Parakeet,CR,EN,G,2007
Psittacus erithacus,Grey Parrot,LC,NT,N,2007
