Scientific name,Common name,"IUCN Red List(2007)Category","IUCN RedList (2008)Category",Reason for change,"Red Listversion"
MAMMALS,,,,,
Gulo gulo,Wolverine,VU,NT,G,2008
Mustela nigripes,Black-footed Ferret,EW,EN,G,2008
Arctocephalus philippii,Juan Fernández Fur Seal,VU,NT,G,2008
Arctocephalus townsendi,Guadalupe Fur Seal,VU,NT,G,2008
Balaena mysticetus,Bowhead Whale,LR/cd,LC,G,2008
Eubalaena australis,Southern Right Whale,LR/cd,LC,G,2008
Megaptera novaeangliae,Humpback Whale,VU,LC,G,2008
Bison bonasus,European Bison,EN,VU,G,2008
Capra pyrenaica,Spanish Ibex,LR/nt,LC,G,2008
Capra walie,Walia Ibex,CR,EN,G,2008
Procapra przewalskii,Przewalski's Gazelle,CR,EN,G,2008
Rupicapra pyrenaica,Pyrenean Chamoix,LR/cd,LC,G,2008
Eschrichtius robustus,Gray Whale,LR/cd,LC,G,2008
Pteropus dasymallus,Ryukyu Flying Fox,EN,NT,G,2008
Pteropus molossinus,Pohnpei Flying Fox,CR,VU,G,2008
Pteropus samoensis,Samoan Flying Fox,VU,NT,G,2008
Corynorhinus rafinesquii,Rafinesque's Big-eared Bat,VU,LC,G,2008
Corynorhinus townsendii,Townsend's Big-eared Bat,VU,LC,G,2008
Myotis emarginatus,Geoffroy's Bat,VU,LC,G,2008
Myotis grisescens,Gray Myotis,EN,NT,G,2008
Dasyurus geoffroii,Western Quoll,VU,NT,G,2008
Dendrolagus lumholtzi,Lumholtz's Tree Kangaroo,LR/nt,LC,G,2008
Macropus irma,Western Brush Wallaby,LR/nt,LC,G,2008
Bettongia lesueur,Burrowing Bettong,VU,NT,G,2008
Pseudochirulus cinereus,Daintree River Ringtail Possum,LR/nt,LC,G,2008
Pseudochirulus herbertensis,Herbert River Ringtail Possum,LR/nt,LC,G,2008
Equus ferus,Wild Horse,EW,CR,G,2008
Equus zebra,Mountain Zebra,EN,VU,G,2008
Rhinoceros unicornis,Indian Rhinoceros,EN,VU,G,2008
Leontopithecus chrysopygus,Black Lion Tamarin,CR,EN,G,2008
Loxodonta africana,African Elephant,VU,NT,G,2008
Castor fiber,Eurasian Beaver,NT,LC,G,2008
Leporillus conditor,Greater Stick-nest Rat,EN,VU,G,2008
Pseudomys fieldi,Shark Bay Mouse,CR,VU,G,2008
Pseudomys occidentalis,Western Mouse,EN,LC,G,2008
Spermophilus suslicus,Speckled Ground Squirrel,VU,NT,G,2008
Spermophilus washingtoni,Washington Ground Squirrel,VU,NT,G,2008
Panthera pardus,Leopard,LC,NT,G,2008
Prionailurus planiceps,Flat-headed Cat,VU,EN,G,2008
Prionailurus viverrinus,Fishing Cat,VU,EN,G,2008
Spilogale pygmaea,Pygmy Spotted Skunk,LR/lc,VU,G,2008
Aonyx cinerea,Asian Small-Clawed Otter,NT,VU,G,2008
Mustela altaica,Altai Weasel,LR/lc,NT,G,2008
Vormela peregusna,Marbled Polecat,LR/lc,VU,G,2008
Arctocephalus galapagoensis,Galápagos Fur Seal,VU,EN,G,2008
Neophoca cinerea,Australian Sea Lion,LR/lc,EN,G,2008
Zalophus wollebaeki,Galápagos Sea Lion,VU,EN,G,2008
Monachus schauinslandi,Hawaiian Monk Seal,EN,CR,G,2008
Hemigalus derbyanus,Banded Civet,LR/lc,VU,G,2008
Paradoxurus zeylonensis,Golden Palm Civet,LR/lc,VU,G,2008
Cephalophus jentinki,Jentink's Duiker,VU,EN,G,2008
Kobus megaceros,Nile Lechwe,LR/nt,EN,G,2008
Axis kuhlii,Bawean Deer,EN,CR,G,2008
Hydropotes inermis,Chinese Water Deer,LR/nt,VU,G,2008
Rucervus eldii,Eld's Deer,VU,EN,G,2008
Rusa timorensis,Javan Rusa,LR/lc,VU,G,2008
Rusa unicolor,Sambar,LR/lc,VU,G,2008
Sus barbatus,Bearded Pig,LR/lc,VU,G,2008
Sus celebensis,Sulawesi Warty Pig,LR/lc,NT,G,2008
Tayassu pecari,White-Lipped Peccary,LR/lc,NT,G,2008
Amorphochilus schnablii,Smoky Bat,VU,EN,G,2008
Coelops robinsoni,Malayan Tailless Leaf-nosed Bat,LR/nt,VU,G,2008
Tadarida johorensis,Northern Free-tailed Bat,LR/nt,VU,G,2008
Tadarida mops,Malayan Free-tailed Bat,LR/lc,NT,G,2008
Nycteris tragata,Malayan Slit-faced Bat,LR/lc,NT,G,2008
Lonchorhina fernandezi,Fernandez's Sword-Nosed Bat,VU,EN,G,2008
Lonchorhina orinocensis,Orinoco Sword-Nosed Bat,LR/nt,VU,G,2008
Platyrrhinus chocoensis,Choco Broad-Nosed Bat,VU,EN,G,2008
Acerodon mackloti,Sunda Fruit Bat,LR/lc,VU,G,2008
Eidolon helvum,Straw-Coloured Fruit Bat,LC,NT,G,2008
