Scientific name,Common name,"IUCN Red List(2008)Category","IUCN RedList (2009.2)Category","ReasonforChange","Red ListVersion"
MAMMALS,,,,,
Gulo gulo,Wolverine,NT,LC,N,2009
BIRDS,,,,,
Aceros narcondami,Narcondam Hornbill,VU,EN,N,2009
Acrocephalus aequinoctialis,Kiritimati Reed-warbler,LC,EN,N,2009
Acrocephalus luscinius,Nightingale Reed-warbler,EN,CR,G,2009
Amazilia castaneiventris,Chestnut-bellied Hummingbird,CR,EN,N,2009
Amazona vinacea,Vinaceous-breasted Amazon,VU,EN,N,2009
Anodorhynchus leari,Lear's Macaw,CR,EN,G,2009
Arborophila cambodiana,Chestnut-headed Partridge,VU,LC,N,2009
Arborophila davidi,Orange-necked Partridge,EN,NT,N,2009
Balearica regulorum,Grey Crowned-crane,LC,VU,G,2009
Camarhynchus pauper,Medium Tree-finch,VU,CR,N,2009
Capito quinticolor,Five-coloured Barbet,NT,VU,N,2009
Coracina analis,New Caledonian Cuckooshrike,LC,NT,N,2009
Crax rubra,Great Curassow,NT,VU,N,2009
Cyanoramphus saisetti,New Caledonian Parakeet,NT,VU,N,2009
Egretta rufescens,Reddish Egret,LC,NT,N,2009
Eunymphicus cornutus,Horned Parakeet,EN,VU,N,2009
Foudia rubra,Mauritius Fody,CR,EN,G,2009
Geositta poeciloptera,Campo Miner,NT,VU,N,2009
Grantiella picta,Painted Honeyeater,NT,VU,G,2009
Gymnomyza aubryana,Crow Honeyeater,EN,CR,N,2009
Heliopais personatus,Masked Finfoot,VU,EN,N,2009
Hemitriccus kaempferi,Kaempfer's Tody-tyrant,CR,EN,N,2009
Heteromirafra sidamoensis,Sidamo Lark,EN,CR,G,2009
Hypsipetes nicobariensis,Nicobar Bulbul,VU,NT,N,2009
Locustella pryeri,Marsh Grassbird,VU,NT,N,2009
Loriculus catamene,Sangihe Hanging-parrot,EN,NT,N,2009
Lorius garrulus,Chattering Lory,EN,VU,N,2009
Loxioides bailleui,Palila,EN,CR,G,2009
Macronectes giganteus,Southern Giant-petrel,NT,LC,N,2009
Macronectes halli,Northern Giant-petrel,NT,LC,N,2009
Megalurulus mariei,New Caledonian Grassbird,NT,LC,N,2009
Menura alberti,Albert's Lyrebird,VU,NT,G,2009
Neomorphus radiolosus,Banded Ground-cuckoo,VU,EN,N,2009
Pavo muticus,Green Peafowl,VU,EN,N,2009
Phylloscartes roquettei,Minas Gerias Tyrannulet,CR,EN,N,2009
Podiceps gallardoi,Hooded Grebe,NT,EN,G,2009
Polemaetus bellicosus,Martial Eagle,LC,NT,N,2009
Primolius couloni,Blue-headed Macaw,EN,VU,N,2009
Pterodroma axillaris,Chatham Petrel,CR,EN,G,2009
Pterodroma cookii,Cook's Petrel,EN,VU,G,2009
Ptilinopus tannensis,Tanna Fruit-dove,NT,LC,N,2009
Pyrrhura devillei,Blaze-winged Parakeet,LC,NT,N,2009
Sericulus bakeri,Fire-maned Bowerbird,VU,NT,N,2009
Spizaetus floris,Fores Hawk-eagle,EN,CR,N,2009
Suiriri islerorum,Chapada Flycatcher,LC,NT,G,2009
Tachycineta cyaneoviridis,Bahama Swallow,VU,EN,N,2009
Terathopius ecaudatus,Bateleur,LC,NT,N,2009
Todiramphus farquhari,Chestnut-billed Kingfisher,VU,NT,N,2009
Todiramphus godeffroyi,Marquesan Kingfisher,EN,CR,G,2009
Tyto soumagnei,Madagascar Red Owl,EN,VU,N,2009
REPTILES,,,,,
Archaeolacerta bedriagae,Bedriaga's Rock Lizard,VU,NT,N,2009
Darevskia alpina,,DD,VU,N,2009
Hydrosaurus pustulatus,Crested Lizard,DD,VU,N,2009
Iberolacerta aranica,Aran Rock Lizard,CR,EN,N,2009
Montivipera bulgardaghica,Mount Bulgar Viper,CR,LC,N,2009
Montivipera raddei,Armenian Viper,LR/lc,NT,N,2009
Montivipera wagneri,Wagner's Viper,EN,CR,N,2009
Podarcis milensis,Miles Wall Lizard,NT,VU,N,2009
Vipera latastei,Lataste's Viper,NT,VU,N,2009
Vipera latifii,Latifi's Viper,VU,EN,N,2009
Vipera pontica,Black Sea Viper,CR,EN,N,2009
Vipera ursinii,Meadow Viper,EN,VU,N,2009
AMPHIBIANS,,,,,
Bolitoglossa hiemalis,,VU,DD,N,2009
Bolitoglossa hypacra,Paramo Frontino Salamander,VU,LC,N,2009
Bombina pachypus,Appenine Yello-bellied Toad,LC,EN,N,2009
Boophis axelmeyeri,,NT,VU,N,2009
Bufo verrucosissimus,Caucasian Toad,LC,NT,N,2009
Cochranella puyoensis,Puyo Giant Glass Frog,CR,EN,N,2009
Cophixalus hosmeri,Clicking Rainforest Frog,VU,LC,N,2009
Craugastor milesi,Miles' Robber Frog,EX,CR,N,2009
Kaloula assamensis,Assamese Balloon Frog,DD,LC,N,2009
Lyciasalamandra luschani,Likya Kara Semenderi,EN,VU,N,2009
Mantella manery,Marojejy Mantella,DD,VU,N,2009
Nectophrynoides asperginis,Kihansi Spray Toad,CR,EW,G,2009
Neurergus microspilotus,,EN,CR,N,2009
Ommatotriton ophryticus,Maloaziatskii Triton,LC,NT,N,2009
Pelodytes caucasicus,Caucasian Parsley Frog,LC,NT,N,2009
Pelophylax caralitanus,,LC,NT,N,2009
Pelophylax cerigensis,Karpathos Frog,EN,CR,N,2009
Plethodontohyla fonetana,,VU,EN,N,2009
Pristimantis lasalleorum,,VU,DD,N,2009
Pristimantis satagius,,VU,DD,N,2009
Psychrophrynella condoriri,,VU,DD,N,2009
Psychrophrynella guillei,,VU,CR,N,2009
Psychrophrynella harveyi,,VU,DD,N,2009
Psychrophrynella iani,,VU,DD,N,2009
Psychrophrynella iatamasi,,VU,LC,N,2009
Psychrophrynella illimani,,VU,CR,N,2009
Psychrophrynella kallawaya,,VU,CR,N,2009
Psychrophrynella katantika,,VU,LC,N,2009
Psychrophrynella saltator,,VU,CR,N,2009
Rana pseudodalmatina,,DD,LC,N,2009
Rana tavasensis,Tavas Kurba?as?,DD,EN,N,2009
Rhacophorus margaritifer,Java Flying Frog,VU,LC,N,2009
Rhacophorus orlovi,Orlov's Treefrog,DD,LC,N,2009
Scaphiophryne menabensis,,NT,VU,N,2009
Stefania ackawaio,,VU,LC,N,2009
Stefania ayangannae,,VU,LC,N,2009
Stefania coxi,,VU,LC,N,2009
FISHES,,,,,
Alopias vulpinus,Common Thresher Shark,DD,VU,N,2009
Carcharhinus falciformis,Silky Shark,LR/lc,NT,N,2009
Carcharhinus obscurus,Dusky Shark,LR/nt,VU,N,2009
Carcharhinus plumbeus,Sandbar Shark,LR/nt,VU,N,2009
Cirrhigaleus barbifer,Mandarin Shark,NT,DD,N,2009
Cyprinodon labiosus,Thicklip Pupfish,EN,CR,N,2009
Dalatias licha,Kitefin Shark,DD,NT,N,2009
Devario pathirana,Barred Danio,CR,EN,N,2009
Diplomystes chilensis,Tollo,EN,DD,N,2009
Haploblepharus fuscus,Brown Shyshark,LR/nt,VU,N,2009
Haplochromis worthingtoni,,CR,DD,N,2009
Hemigaleus microstoma,Sickle Fin Weasel Shark,LC,VU,N,2009
Ilyodon whitei,Balsas Splitfin,CR,LC,N,2009
Isurus oxyrinchus,Shortfin Mako,LR/nt,VU,N,2009
Lamna ditropis,Herring Shark,DD,LC,N,2009
Leiopotherapon macrolepis,Kimberley Spamgled Perch,LR/nt,LC,N,2009
Mogurnda furva,Black Mogurnda,VU,CR,N,2009
Mogurnda variegata,Variegated Gudgeon,VU,CR,N,2009
Monopterus indicus,Bombay Swampeel,DD,NT,N,2009
Mustelus mustelus,Common Smoothhound,LR/lc,VU,N,2009
Neochanna apoda,Brown Mudfish,LR/nt,VU,G,2009
Odontaspis ferox,Small-tooth Sand Tiger Shark,DD,VU,N,2009
Pangasius sanitwongsei,Giant Pangasius,DD,CR,N,2009
Pingalla midgleyi,Black-blotch Grunter,LR/nt,LC,N,2009
Prototroctes maraena,Australian Grayling,VU,NT,G,2009
Pseudomugil connieae,Popondetta Blue-eye,LR/lc,VU,G,2009
Sphyrna lewini,Scalloped Hammerhead,LR/nt,EN,N,2009
Sphyrna zygaena,Smooth Hammerhead,LR/nt,VU,N,2009
Triakis acutipinna,Sharpfin Houndshark,VU,EN,N,2009
Triakis semifasciata,Leopard Shark,LR/cd,LC,G,2009
Yunnanilus macrogaster,,VU,DD,N,2009
INVERTEBRATES,,,,,
Argiagrion leoninum,,LC,DD,N,2009
Biomphalaria tchadiensis,,VU,EN,G,2009
Chalcothore montgomeryi,Tepui Bannerwing,NT,LC,N,2009
Chlorogomphus iriomotensis,,EN,LC,N,2009
Enallagma recurvatum,Pine Barrens Bluet,LC,NT,N,2009
Epigomphus echeverrii,Volvano Knobtail,EN,LC,N,2009
Hemicordulia okinawensis,,VU,LC,N,2009
Heteragrion eboratum,Ivory-faced Flatwing,VU,NT,N,2009
Heteropodagrion sanguinipes,,LC,EN,N,2009
Imperturbatia violescens,,DD,EN,N,2009
Isomma hieroglyphicum,,DD,LC,N,2009
Kalocora aurea,,EN,DD,N,2009
Leptogomphus yayeyamensis,,EN,LC,N,2009
Macromidia ishidai,,EN,LC,N,2009
Nemoron nomas,,EN,VU,N,2009
Palaemnema gigantula,Elongate Shadowdamsel,EN,LC,N,2009
Paludomus ajanensis,,CR,EN,N,2009
Partula affinis,Polynesian Tree Snail,EX,CR,N,2009
Partula filosa,Polynesian Tree Snail,CR,EX,N,2009
Partula garretti,Polynesian Tree Snail,EW,EX,N,2009
Partula hyalina,Polynesian Tree Snail,CR,VU,N,2009
Partula labrusca,Polynesian Tree Snail,EW,EX,G,2009
Partula nodosa,Polynesian Tree Snail,EX,EW,N,2009
Partula rosea,Polynesian Tree Snail,CR,EW,G,2009
Partula taeniata,Polynesian Tree Snail,EW,CR,N,2009
Partula varia,Polynesian Tree Snail,CR,EW,G,2009
Phyllopetalia pudu,Pudu Redspot,DD,LC,N,2009
Protoneura dunklei,Purple Threadtail,EN,LC,N,2009
Protoneura sanguinipes,Red-legged Threadtail,EN,LC,N,2009
Samoana annectens,Polynesian Tree Snail,EN,DD,N,2009
Samoana attenuata,Polynesian Tree Snail,EN,CR,G,2009
Samoana diaphana,Polynesian Tree Snail,EN,DD,N,2009
Sciotropis lattkei,Paria Wood Elf,VU,EN,N,2009
Stenocora percornuta,Horned Bannerwing,DD,NT,N,2009
PLANTS,,,,,
Aloe ballyi,Rat Aloe,VU,EN,N,2009
Annickia kummerae,,VU,EN,N,2009
Anonidium usambarense,,EX,DD,N,2009
Dalbergia mollis,Rosewood,EN,LR/nt,N,2009
Lettowianthus stellatus,,VU,NT,N,2009
Polyceratocarpus scheffleri,,VU,EN,N,2009
Schefflera lukwangulensis,,VU,EN,N,2009
Toussaintia orientalis,,VU,EN,G,2009
Uvariodendron gorgonis,,VU,EN,N,2009
Uvariodendron oligocarpum,,VU,EN,N,2009
Uvariodendron usambarense,,VU,EN,N,2009
Uvariopsis bisexualis,,VU,EN,N,2009
