Scientific name,Common name,"IUCN Red List(2009)Category","IUCN RedList (2010)Category","Reason forchange","Red Listversion"
MAMMALS,,,,,
Apomys insignis,Mindanao Montane Forest Mouse,NT,LC,N,2010
Calomys hummelincki,Hummelinck's Vesper Mouse,VU,LC,N,2010
Calyptophractus retusus,Greater Fairy Armadillo,NT,DD,N,2010
Chaetodipus goldmani,Goldman's Pocket Mouse,VU,NT,N,2010
Dendrolagus mbaiso,Dingiso,CR,EN,N,2010
Eupetaurus cinereus,Woolly Flying Squirrel,DD,EN,N,2010
Gerbillus gleadowi,Little Hairy-footed Gerbil,NT,LC,N,2010
Hyperacrius fertilis,Burrowing Vole,VU,NT,N,2010
Lonchophylla hesperia,Western Nectar Bat,VU,NT,N,2010
Microakodontomys transitorius,Transitional Colilargo,VU,EN,N,2010
Myrmecophaga tridactyla,Giant Anteater,NT,VU,N,2010
Octodon lunatus,Moon-toothed Degu,VU,NT,N,2010
Paramelomys levipes,Papuan Lowland Paramelomys,DD,LC,N,2010
Petaurista magnificus,Hodgson's Giant Flying Squirrel,NT,LC,N,2010
Petaurista nobilis,Bhutan Giant Flying Squirrel,VU,NT,N,2010
Praomys delectorum,East African Praomys,NT,LC,N,2010
Proechimys goeldii,Goeldi's Spiny Rat,VU,LC,N,2010
Proechimys roberti,Roberto's Spiny Rat,VU,LC,N,2010
Pteropus capistratus,Bismarck Flying Fox,EN,NT,N,2010
Pteropus insularis,Ruck Flying Fox,DD,CR,N,2010
Ratufa indica,Indian Giant Squirrel,NT,LC,N,2010
Reithrodontomys microdon,Small-toothed Harvest Mouse,VU,LC,N,2010
Rhinolophus hillorum,Upland Horseshoe Bat,VU,NT,N,2010
Rhipidomys modicus,Peruvian Rhipidomys,NT,LC,N,2010
Scotonycteris ophiodon,Pohle's Fruit Bat,VU,NT,N,2010
Styloctenium wallacei,Stripe-face d Fruit Bat,VU,NT,N,2010
Tadarida petersoni,Peterson's Free-tailed Bat,VU,NT,N,2010
Uromys neobritannicus,Bismarck Giant Rat,EN,NT,N,2010
BIRDS,,,,,
Amytornis dorotheae,Carpentarian Grasswren,NT,VU,N,2010
Balearica pavonina,Black Crowned-crane,NT,VU,G,2010
Bucorvus cafer,Southern Ground-hornbill,LC,VU,N,2010
Calidris tenuirostris,Great Knot,LC,VU,G,2010
Chaetura pelagica,Chimney Swift,LC,NT,G,2010
Cinclodes palliatus,White-bellied Cinclodes,EN,CR,N,2010
Coturnix japonica,Japanese Quail,LC,NT,N,2010
Crax globulosa,Wattled Curassow,VU,EN,N,2010
Crex crex,Corncrake,NT,LC,N,2010
Cyanolimnas cerverai,Zapata Rail,EN,CR,G,2010
Cyrtonyx ocellatus,Ocellated Quail,NT,VU,N,2010
Dicrurus waldenii,Mayotte Drongo,EN,VU,N,2010
Emberiza jankowskii,Rufous-backed Bunting,VU,EN,G,2010
Falco cherrug,Saker Falcon,EN,VU,N,2010
Francolinus swierstrai,Swierstra's Francolin,VU,EN,N,2010
Gallinago macrodactyla,Madagascar Snipe,NT,VU,N,2010
Gavia adamsii,Yellow-billed Loon,LC,NT,N,2010
Loxia scotica,Scottish Crossbill,DD,LC,N,2010
