Scientific name,Common name,"IUCN Red List(2012)Category","IUCN RedList (2013)Category","Reason forchange","Red Listversion"
MAMMALS,,,,,
Nycticebus javanicus,Javan Slow Loris,EN,CR,N,2013.2
Okapia johnstoni,Okapi,NT,EN,N,2013.2
Pteropus niger,Greater Mascarene Flying Fox,EN,VU,N,2013.2
Tayassu pecari,White-lipped Peccary,NT,VU,G,2013.1
Urocyon littoralis,Island Fox,CR,NT,G,2013.2
"",,,,,
BIRDS,,,,,
Acrocephalus rodericanus,Rodrigues Warbler,EN,NT,G,2013.2
Acrocephalus sorghophilus,Streaked Reed-warbler,VU,EN,G,2013.2
Actinodura sodangorum,Black-crowned Barwing,VU,NT,N,2013.2
Aimophila notosticta,Oaxaca Sparrow,NT,LC,N,2013.2
Apalopteron familiare,Bonin White-eye,VU,NT,N,2013.2
Ardeotis kori,Kori Bustard,LC,NT,G,2013.2
Buteogallus aequinoctialis,Rufous Crab-hawk,LC,NT,N,2013.2
Cacatua alba,White Cockatoo,VU,EN,G,2013.2
Drymophila genei,Rufous-tailed Antbird,NT,LC,N,2013.2
Emberiza aureola,Yellow-breasted Bunting,VU,EN,G,2013.2
Embernagra longicauda,Pale-throated Pampa-finch,NT,LC,N,2013.2
Esacus recurvirostris,Great Thick-knee,LC,NT,N,2013.2
Eupodotis afra,Black Bustard,LC,VU,G,2013.2
Foudia flavicans,Rodrigues Fody,VU,NT,G,2013.2
Garrulax rufifrons,Rufous-fronted Laughingthrush,NT,EN,G,2013.2
Goura victoria,Victoria Crowned-pigeon,VU,NT,N,2013.2
Grallaria carrikeri,Pale-billed Antpitta,LC,NT,N,2013.2
Guaruba guarouba,Golden Parakeet,EN,VU,N,2013.2
Knipolegus franciscanus,Brazilian Black-tyrant,NT,LC,N,2013.2
Larus atlanticus,Olrog's Gull,VU,NT,N,2013.2
Luscinia ruficeps,Rufous-headed Robin,VU,EN,N,2013.2
Mayrornis schistaceus,Vanikoro Monarch,NT,VU,N,2013.2
Mycteria cinerea,Milky Stork,VU,EN,N,2013.2
Oriolus mellianus,Silver Oriole,VU,EN,G,2013.2
Oryzoborus maximiliani,Great-billed Seed-finch,NT,VU,G,2013.2
Perdicula manipurensis,Manipur Bush-quail,VU,EN,N,2013.2
Phalacrocorax capensis,Cape Cormorant,NT,EN,G,2013.2
Phoebastria nigripes,Black-footed Albatross,VU,NT,N,2013.2
Picoides borealis,Red-cockaded Woodpecker,VU,NT,G,2013.2
Pitta superba,Superb Pitta,VU,EN,N,2013.2
Polemaetus bellicosus,Martial Eagle,NT,VU,G,2013.2
Psittacula alexandri,Red-breasted Parakeet,LC,NT,N,2013.2
Psittacula eupatria,Alexandrine Parakeet,LC,NT,N,2013.2
Psittacula finschii,Grey-headed Parakeet,LC,NT,N,2013.2
Psittacula roseata,Blossom-headed Parakeet,LC,NT,N,2013.2
Psittaculirostris salvadorii,Salvadori's Fig-parrot,VU,LC,N,2013.2
Sarothrura ayresi,White-winged Flufftail,EN,CR,G,2013.2
Selasphorus ardens,Glow-throated Hummingbird,VU,EN,N,2013.2
Sitta magna,Giant Nuthatch,VU,EN,N,2013.2
Tangara meyerdeschauenseei,Green-capped Tanager,VU,NT,N,2013.2
Tanysiptera ellioti,Kofiau Paradise-kingfisher,EN,VU,N,2013.2
Terpsiphone cyanescens,Blue Paradise-flycatcher,NT,LC,N,2013.2
Thalassarche chrysostoma,Grey-headed Albatross,VU,EN,G,2013.2
Thalassarche melanophrys,Black-browed Albatross,EN,NT,N,2013.2
Xenotriccus mexicanus,Pileated Flycatcher,NT,LC,N,2013.2
"",,,,,
REPTILES,,,,,
Aparallactus lineatus,Lined Centipede-eater,DD,NT,N,2013.1
Abronia montecristoi,Monte Cristo Arboreal Alligator Lizard,CR,EN,N,2013.2
Adelphicos quadrivirgatum,Middle American Burrowing Snake,DD,LC,N,2013.2
Atheris hirsuta,Tai Hairy Bush Viper,VU,DD,N,2013.1
Celestus rozellae,Rozella's Lesser Galliwasp,NT,LC,N,2013.2
Chapinophis xanthocheilus,,DD,EN,N,2013.2
Chioninia vaillantii,Vaillant's Mabuya,DD,EN,N,2013.1
Cynisca kraussi,Ghana Worm Lizard,EN,DD,N,2013.1
Cyrtodactylus biordinis,Guadalcanal Bow-fingered Gecko,DD,LC,N,2013.1
Dermochelys coriacea,Leatherback Turtle,CR,VU,G,2013.2
Emoia isolata,Bellona Skink,VU,LC,N,2013.1
Eutropis bibronii,Bibron's Skink,DD,LC,N,2013.2
Geomyersia coggeri,Cogger's Island Skink,VU,LC,N,2013.1
Lepidodactylus mutahi,Bougainville's Scaly-toed Gecko,LC,DD,N,2013.1
Lepidophyma reticulatum,Costa Rican Tropical Night Lizard,VU,LC,N,2013.2
Matoatoa spannringi,,CR(PE),DD,N,2013.2
Ogmodon vitianus,Fiji Snake,VU,EN,N,2013.1
Oligodon affinis,Western Kukri Snake,DD,LC,N,2013.1
Omoadiphas texiguatensis,,DD,CR,N,2013.2
Parapistocalamus hedigeri,Bougainville Coral Snake,LC,DD,N,2013.1
Philochortus zolii,,CR,EN,N,2013.1
Platyplectrurus madurensis,Travancore Hills Thorntail Snake,DD,EN,N,2013.1
Platyplectrurus trilineatus,Lined Thorntail Snake,LC,DD,N,2013.1
Polemon barthii,Guinea Snake-eater,DD,LC,N,2013.1
Rhadinella serperaster,,DD,LC,N,2013.2
Ristella rurkii,Rurk's Ristella,VU,DD,N,2013.1
Tantilla vermiformis,Hallowell's Centipede Snake,DD,LC,N,2013.2
Trachylepis bensonii,Benson's Mabuya,DD,LC,N,2013.1
Tribolonotus blanchardi,Blanchard's Helmet Skink,VU,LC,N,2013.1
Trimeresurus gramineus,Common Bamboo Viper,DD,LC,N,2013.1
Uropeltis rubromaculatus,Red-spotted Earth Snake,DD,LC,N,2013.1
Uropeltis smithi,Smith's Earth Snake,DD,NT,N,2013.1
"",,,,,
AMPHIBIANS,,,,,
