Scientific name,Common name,"IUCN Red List(2013)Category","IUCN RedList (2014)Category","Reason forchange","Red Listversion"
MAMMALS,,,,,
Allocebus trichotis,Hairy-eared Dwarf Lemur,DD,VU,N,2014
Avahi betsileo,Betsileo Woolly Lemur,DD,EN,N,2014
Avahi laniger,Eastern Woolly Lemur,LC,VU,G,2014
Avahi meridionalis,Southern Woolly Lemur,DD,EN,N,2014
Avahi peyrierasi,Peyrieras' Woolly Lemur,DD,VU,N,2014
Avahi ramanantsoavanai,Ramantsoavana's Southern Woolly Lemur,DD,VU,N,2014
Avahi unicolor,Sambirano Woolly Lemur,DD,EN,N,2014
Cheirogaleus major,Geoffroy's Dwarf Lemur,LC,DD,N,2014
Cheirogaleus sibreei,Sibree's Dwarf Lemur,DD,CR,N,2014
Dasypus pilosus,Hairy Long-nosed Armadillo,VU,DD,N,2014
Dasypus sabanicola,Northern Long-nosed Armadillo,LC,NT,N,2014
Daubentonia madagascariensis,Aye-aye,NT,EN,G,2014
Eulemur albifrons,White-fronted Lemur,VU,EN,G,2014
Eulemur cinereiceps,White-collared Lemur,EN,CR,G,2014
Eulemur collaris,Collared Brown Lemur,VU,EN,G,2014
Eulemur coronatus,Crowned Lemur,VU,EN,G,2014
Eulemur mongoz,Mongoose Lemur,VU,CR,G,2014
Eulemur rufus,Red Brown Lemur,DD,VU,N,2014
Hapalemur aureus,Golden Bamboo Lemur,EN,CR,G,2014
Indri indri,Indri,EN,CR,G,2014
Lemur catta,Ring-tailed Lemur,NT,EN,G,2014
Lepilemur aeeclis,Antafia Sportive Lemur,DD,VU,N,2014
Lepilemur ahmansonorum,Ahmanson’s Sportive Lemur,DD,EN,N,2014
Lepilemur betsileo,Betsileo Sportive Lemur,DD,EN,N,2014
Lepilemur dorsalis,Gray’s Sportive Lemur,DD,VU,N,2014
Lepilemur edwardsi,Milne-Edwards's Sportive Lemur,VU,EN,G,2014
Lepilemur fleuretae,Fleurete's Sportive Lemur,DD,CR,N,2014
Lepilemur grewcockorum,Grewcock's Sportive Lemur,DD,EN,N,2014
Lepilemur hubbardorum,Hubbard's Sportive Lemur,DD,EN,N,2014
Lepilemur jamesorum,James' Sportive Lemur,DD,CR,N,2014
Lepilemur leucopus,White-footed Sportive Lemur,DD,EN,N,2014
Lepilemur microdon,Small-toothed Sportive Lemur,DD,EN,N,2014
Lepilemur milanoii,Daraina Sportive Lemur,DD,EN,N,2014
Lepilemur mittermeieri,Mittermeier's Sportive Lemur,DD,EN,N,2014
Lepilemur mustelinus,Weasel Sportive Lemur,DD,NT,N,2014
Lepilemur otto,Otto's Sportive Lemur,DD,EN,N,2014
Lepilemur petteri,Petter's Sportive Lemur,DD,VU,N,2014
Lepilemur randrianasoloi,Randrianasolo's Sportive Lemur,DD,EN,N,2014
Lepilemur ruficaudatus,Red-tailed Sportive Lemur,DD,VU,N,2014
Lepilemur sahamalazensis,Sahamalaza Peninsula Sportive Lemur,DD,CR,N,2014
Lepilemur seali,Seal's Sportive Lemur,DD,VU,N,2014
Lepilemur tymerlachsoni,Nosy Be Sportive Lemur,DD,CR,N,2014
Lepilemur wrightae,Wright's Sportive Lemur,DD,EN,N,2014
Manis crassicaudata,Indian Pangolin,NT,EN,G,2014
Manis culionensis,Philippine Pangolin,NT,EN,N,2014
Manis javanica,Sunda Pangolin,EN,CR,N,2014
Manis pentadactyla,Chinese Pangolin,EN,CR,N,2014
Microcebus bongolavensis,Bongolava Mouse Lemur,DD,EN,N,2014
Microcebus danfossi,Danfoss' Mouse Lemur,DD,EN,N,2014
Microcebus jollyae,Jolly's Mouse Lemur,DD,EN,N,2014
Microcebus lehilahytsara,Goodman's Mouse Lemur,DD,VU,N,2014
Microcebus mamiratra,Claire's Mouse Lemur,DD,CR,N,2014
Microcebus mittermeieri,Mittermeier's Mouse Lemur,DD,EN,N,2014
Microcebus myoxinus,Peters’ Mouse Lemur,DD,VU,N,2014
Microcebus rufus,Rufous Mouse Lemur,LC,VU,N,2014
Microcebus simmonsi,Simmons' Mouse Lemur,DD,EN,N,2014
Microcebus tavaratra,Tavaratra Mouse Lemur,EN,VU,N,2014
Mirza coquereli,Coquerel's Giant Mouse Lemur,NT,EN,G,2014
Mirza zaza,Northern Giant Mouse Lemur,VU,EN,G,2014
Phaner electromontis,Amber Mountain Fork-marked Lemur,VU,EN,G,2014
Phaner furcifer,Masoala Fork-marked Lemur,LC,VU,G,2014
Phaner pallescens,Pale Fork-marked Lemur,LC,EN,G,2014
Phaner parienti,Sambirano Fork-marked Lemur,VU,EN,G,2014
Phataginus tetradactyla,Black-bellied Pangolin,LC,VU,N,2014
Phataginus tricuspis,White-bellied Pangolin,NT,VU,N,2014
Propithecus deckenii,Van der Decken’s Sifaka,VU,EN,G,2014
Propithecus diadema,Diademed Sifaka,EN,CR,G,2014
Propithecus tattersalli,Golden-crowned Sifaka,EN,CR,G,2014
Propithecus verreauxi,Verreaux's Sifaka,VU,EN,G,2014
Smutsia gigantea,Giant Ground Pangolin,NT,VU,N,2014
Smutsia temminckii,Temminck's Ground Pangolin,LC,VU,N,2014
Varecia rubra,Red Ruffed Lemur,EN,CR,G,2014
,,,,,
BIRDS,,,,,
Accipiter erythrauchen,Rufous-necked Sparrowhawk,LC,NT,G,2014
Accipiter henicogrammus,Moluccan Goshawk,LC,NT,N,2014
Amazona finschi,Lilac-crowned Amazon,VU,EN,N,2014
Anodorhynchus hyacinthinus,Hyacinth Macaw,EN,VU,G,2014
Anthus melindae,Malindi Pipit,NT,LC,N,2014
Apalharpactes reinwardtii,Javan Trogon,EN,VU,N,2014
Arborophila crudigularis,Taiwan Partridge,NT,LC,N,2014
Brachyramphus brevirostris,Kittlitz's Murrelet,CR,NT,G,2014
