Scientific name,Common name,"IUCN Red List(2016)Category","IUCN RedList (2017)Category","Reason forchange","Red Listversion"
MAMMALS,,,,,
Allactaga tetradactyla,Four-toed Jerboa,VU,DD,N,2017-2
Antilope cervicapra,Blackbuck,NT,LC,N,2017-2
Aotus nancymaae,Nancy Ma’s Night Monkey,LC,VU,G,2017-1
Batomys granti,Cordillera Hairy Tailed Rat,NT,LC,N,2017-3
Cephalophus adersi,Aders' Duiker,CR,VU,N,2017-2
Cephalorhynchus commersonii,Commerson's Dolphin,DD,LC,N,2017-3
Chiropodomys major,Greater Pencil-tailed Tree Mouse,DD,LC,N,2017-2
Chrotomys mindorensis,Lowland Chrotomys,NT,LC,N,2017-2
Crateromys australis,Dinagat Bushy-tailed Cloud Rat,CR,DD,N,2017-2
Crocidura monax,Kilimanjaro Shrew,LC,DD,N,2017-3
Crocidura niobe,Niobe's Shrew,NT,LC,N,2017-2
Crocidura usambarae,Usambara Shrew,EN,VU,N,2017-3
Cryptotis griseoventris,,VU,EN,N,2017-3
Cryptotis meridensis,Merida Small-eared Shrew,LC,VU,N,2017-3
Delphinapterus leucas,Beluga Whale,NT,LC,N,2017-3
Dinomys branickii,Pacarana,VU,LC,N,2017-2
Emballonura furax,New Guinea Sheath-tailed Bat,DD,LC,N,2017-2
Eudorcas tilonura,Heuglin's Gazelle,VU,EN,G,2017-2
Felovia vae,Felou Gundi,DD,LC,N,2017-2
Gazella arabica,Arabian Gazelle,DD,VU,N,2017-2
Gazella gazella,Mountain Gazelle,VU,EN,N,2017-2
Habromys delicatulus,Delicate Deer Mouse,CR,EN,N,2017-2
Hipposideros corynophyllus,Telefomin Leaf-nosed Bat,DD,LC,N,2017-2
Hipposideros edwardshilli,Hill's Leaf-nosed Bat,DD,VU,N,2017-2
Hipposideros muscinus,Fly River Leaf-nosed Bat,DD,LC,N,2017-2
Hipposideros semoni,Semon's Leaf-nosed Bat,DD,LC,N,2017-2
Hylaeamys oniscus,Sowbug Rice Rat,VU,NT,N,2017-2
Kobus leche,Southern Lechwe,LC,NT,G,2017-2
Microtus kikuchii,Taiwan Vole,NT,LC,N,2017-2
