Scientific name,Common name,"IUCN Red List(2017)Category","IUCN RedList (2018)Category","Reason forchange","Red Listversion"
MAMMALS,,,,,
Anotomys leander,Ecuadoran Ichthyomyine,VU,EN,N,2018-1
Balaenoptera bonaerensis,Antarctic Minke Whale,DD,NT,N,2018-1
Balaenoptera edeni,Bryde's Whale,DD,LC,N,2018-1
Balaenoptera physalus,Fin Whale,EN,VU,G,2018-2
Bibimys torresi,Torres's Crimson-nosed Rat,NT,VU,N,2018-1
Bunomys coelestis,Lompobatang Bunomys,CR,EN,N,2018-1
Callibella humilis,Black-crowned Dwarf Marmoset,VU,LC,N,2018-2
Caperea marginata,Pygmy Right Whale,DD,LC,N,2018-2
Cephalorhynchus heavisidii,Heaviside's Dolphin,DD,NT,N,2018-2
Chilonatalus micropus,Cuban Lesser Funnel-eared Bat,NT,VU,N,2018-2
Dipodomys stephensi,Stephens' Kangaroo Rat,EN,VU,N,2018-2
Eudorcas thomsonii,Thomson's Gazelle,NT,LC,G,2018-2
Euryoryzomys lamia,Monster Rice Rat,EN,VU,N,2018-2
Feresa attenuata,Pygmy Killer Whale,DD,LC,N,2018-2
Geocapromys brownii,Brown's Hutia,VU,EN,G,2018-1
Geomys tropicalis,Tropical Pocket Gopher,CR,EN,N,2018-1
Globicephala macrorhynchus,Short-finned Pilot Whale,DD,LC,N,2018-2
Globicephala melas,Long-finned Pilot Whale,DD,LC,N,2018-2
Glossophaga longirostris,Miller's Long-tongued Bat,DD,LC,N,2018-2
Gyldenstolpia fronto,Fossorial Giant Rat,EN,CR(PE),N,2018-2
Habromys simulatus,Jico Deer Mouse,EN,CR,N,2018-2
Handleyomys chapmani,Chapman's Rice Rat,LC,VU,N,2018-2
Hylomyscus grandis,Mt Oku Hylomyscus,CR,EN,N,2018-1
Inia geoffrensis,Amazon River Dolphin,DD,EN,N,2018-2
Lissodelphis peronii,Southern Right Whale Dolphin,DD,LC,N,2018-2
Mico acariensis,Rio Acarí Marmoset,DD,LC,N,2018-2
Mico chrysoleucos,Golden-white Tassel-ear Marmoset,DD,LC,N,2018-2
Mico emiliae,Snethlage’s Marmoset,DD,LC,N,2018-2
Micronycteris sanborni,,DD,LC,N,2018-2
Micropotamogale lamottei,Nimba Otter Shrew,NT,VU,N,2018-2
Myotis grisescens,Grey Bat,NT,VU,N,2018-2
Myotis leibii,Eastern Small-footed Myotis,LC,EN,N,2018-2
Myotis lucifugus,Little Brown Bat,LC,EN,N,2018-2
Myotis septentrionalis,Northern Myotis,LC,NT,N,2018-2
Neusticomys mussoi,Musso's Fish-eating Rat,EN,VU,N,2018-1
Oryx beisa,Beisa Oryx,NT,EN,G,2018-2
Phocoena dioptrica,Spectacled Porpoise,DD,LC,N,2018-2
Phocoena spinipinnis,Burmeister's Porpoise,DD,NT,N,2018-2
Pithecia albicans,Buffy Saki,VU,LC,N,2018-2
Pseudorca crassidens,False Killer Whale,DD,NT,N,2018-2
Pteropus niger,Greater Mascarene Flying Fox,VU,EN,G,2018-1
Sotalia guianensis,Guiana Dolphin,DD,NT,N,2018-2
Sphaeronycteris toxophyllum,Visored Bat,DD,LC,N,2018-2
Stenella clymene,Clymene Dolphin,DD,LC,N,2018-2
Stenella frontalis,Atlantic Spotted Dolphin,DD,LC,N,2018-2
Stenella longirostris,Spinner Dolphin,DD,LC,N,2018-2
Thomasomys bombycinus,Silky Oldfield Mouse,DD,VU,N,2018-1
Thomasomys eleusis,Peruvian Oldfield Mouse,LC,VU,N,2018-1
Thomasomys hudsoni,,DD,VU,N,2018-2
Thomasomys hylophilus,Woodland Oldfield Mouse,EN,VU,N,2018-2
Thomasomys rosalinda,Rosalinda's Oldfield Mouse,DD,EN,N,2018-1
Thomasomys vulcani,,DD,LC,N,2018-2
Tupaia chrysogaster,Golden-bellied Treeshrew,EN,VU,N,2018-1
BIRDS,,,,,
Alopecoenas canifrons,Palau Ground-dove,NT,EN,N,2018-2
Anorrhinus galeritus,Bushy-crested Hornbill,LC,NT,N,2018-2
Anthracoceros malayanus,Black Hornbill,NT,VU,N,2018-2
Antrostomus carolinensis,Chuck-will's-widow,LC,NT,N,2018-2
Antrostomus vociferus,Eastern Whip-poor-will,LC,NT,N,2018-2
Apalis chariessa,White-winged Apalis,VU,NT,N,2018-2
Aquila rapax,Tawny Eagle,LC,VU,N,2018-2
Ara rubrogenys,Red-fronted Macaw,EN,CR,G,2018-2
Augastes scutatus,Hyacinth Visorbearer,NT,LC,N,2018-2
Bathmocercus cerviniventris,Black-headed Rufous-warbler,NT,DD,N,2018-2
Berenicornis comatus,White-crowned Hornbill,NT,EN,N,2018-2
Bubo shelleyi,Shelley's Eagle-owl,NT,VU,N,2018-2
Buceros bicornis,Great Hornbill,NT,VU,N,2018-2
Buceros rhinoceros,Rhinoceros Hornbill,NT,VU,N,2018-2
Bucorvus abyssinicus,Northern Ground-hornbill,LC,VU,N,2018-2
Carpococcyx renauldi,Coral-billed Ground-cuckoo,LC,VU,G,2018-2
Celeus obrieni,Kaempfer's Woodpecker,EN,VU,N,2018-2
Chaetura pelagica,Chimney Swift,NT,VU,G,2018-2
Chamaepetes unicolor,Black Guan,NT,LC,N,2018-2
Chamaetylas choloensis,Thyolo Alethe,EN,VU,N,2018-2
Coeligena phalerata,White-tailed Starfrontlet,LC,NT,N,2018-2
Corvus palmarum,Palm Crow,NT,LC,N,2018-2
Corvus pectoralis,Collared Crow,NT,VU,N,2018-2
Cypseloides niger,Black Swift,LC,VU,N,2018-2
Diomedea amsterdamensis,Amsterdam Albatross,CR,EN,G,2018-2
Euryceros prevostii,Helmet Vanga,VU,EN,G,2018-2
Foudia aldabrana,Aldabra Fody,NT,EN,N,2018-2
Garrulax milleti,Black-hooded Laughingthrush,NT,LC,N,2018-2
Garrulax palliatus,Sunda Laughingthrush,LC,NT,G,2018-2
Geronticus eremita,Northern Bald Ibis,CR,EN,G,2018-2
Graminicola bengalensis,Indian Grass-babbler,LC,NT,N,2018-2
Henicorhina negreti,Munchique Wood-wren,CR,VU,N,2018-2
Hesperiphona vespertina,Evening Grosbeak,LC,VU,N,2018-2
Larus leucophthalmus,White-eyed Gull,NT,LC,N,2018-2
Laterallus levraudi,Rusty-flanked Crake,EN,VU,N,2018-2
Leucosticte atrata,Black Rosy-finch,LC,EN,N,2018-2
Leucosticte australis,Brown-capped Rosy-finch,LC,EN,N,2018-2
Lonchura oryzivora,Java Sparrow,VU,EN,G,2018-2
