Scientific name,Common name,"IUCN Red List(2021)Category","IUCN RedList (2022)Category","Reason forchange","Red Listversion"
"",,,,,
MAMMALS (Mammalia),,,,,
Hypogeomys antimena,Malagasy Giant Jumping Rat,EN,CR,G,2022-1
Macaca fascicularis,Long-tailed Macaque,VU,EN,N,2022-1
Macaca nemestrina,Southern Pig-tailed Macaque,VU,EN,N,2022-1
Mesocricetus auratus,Golden Hamster,VU,EN,N,2022-1
Microcebus lehilahytsara,Goodman's Mouse Lemur,VU,NT,N,2022-1
Plecturocebus vieirai,Vieira's Titi Monkey,DD,CR,N,2022-1
Presbytis comata,Javan Surili,EN,VU,N,2022-1
Pygeretmus zhitkovi,Greater Fat-tailed Jerboa,NT,LC,N,2022-1
Rhinopithecus brelichi,Grey Snub-nosed Monkey,EN,CR,N,2022-1
Sapajus cay,Azara’s Capuchin,LC,VU,G,2022-1
"",,,,,
BIRDS (Aves),,,,,
Acanthiza katherina,Mountain Thornbill,LC,VU,G,2022-1
Accipiter imitator,Imitator Goshawk,VU,NT,N,2022-1
Accipiter nanus,Dwarf Sparrowhawk,NT,LC,N,2022-1
Acrocephalus orinus,Large-billed Reed-warbler,DD,LC,N,2022-1
Acrocephalus sorghophilus,Streaked Reed-warbler,EN,CR,G,2022-1
Afropavo congensis,Congo Peafowl,VU,NT,N,2022-1
Amazona bodini,Northern Festive Amazon,NT,LC,N,2022-1
Amazona farinosa,Southern Mealy Amazon,NT,LC,N,2022-1
Amazona festiva,Southern Festive Amazon,NT,LC,N,2022-1
Amazona kawalli,White-faced Amazon,NT,LC,N,2022-1
Amytornis ballarae,Kalkadoon Grasswren,LC,VU,G,2022-1
Amytornis housei,Black Grasswren,NT,LC,N,2022-1
Amytornis woodwardi,White-throated Grasswren,VU,EN,G,2022-1
Apalis chirindensis,Chirinda Apalis,LC,VU,G,2022-1
Apalis sharpii,Sharpe's Apalis,LC,NT,G,2022-1
Aphelocephala leucopsis,Southern Whiteface,LC,VU,G,2022-1
Aratinga auricapillus,Golden-capped Parakeet,NT,LC,N,2022-1
Arborophila mandellii,Chestnut-breasted Partridge,VU,NT,N,2022-1
Argya rufescens,Orange-billed Babbler,NT,LC,N,2022-1
Asthenes helleri,Puna Thistletail,VU,LC,N,2022-1
Atlapetes rufigenis,Rufous-eared Brush-finch,NT,LC,N,2022-1
Bolemoreus hindwoodi,Eungella Honeyeater,LC,NT,G,2022-1
Bubo sumatranus,Barred Eagle-owl,LC,NT,G,2022-1
Calidris acuminata,Sharp-tailed Sandpiper,LC,VU,G,2022-1
Callocephalon fimbriatum,Gang-gang Cockatoo,LC,VU,G,2022-1
Calyptorhynchus lathami,Glossy Black-cockatoo,LC,VU,G,2022-1
Campephilus gayaquilensis,Guayaquil Woodpecker,NT,LC,N,2022-1
Caprimulgus ruficollis,Red-necked Nightjar,LC,NT,G,2022-1
Carpococcyx radiceus,Bornean Ground-cuckoo,NT,VU,G,2022-1
Carpodectes antoniae,Yellow-billed Cotinga,EN,NT,N,2022-1
Chloebia gouldiae,Gouldian Finch,NT,LC,N,2022-1
Chrysocolaptes erythrocephalus,Red-headed Flameback,EN,NT,N,2022-1
Colluricincla boweri,Bower's Shrike-thrush,LC,VU,G,2022-1
Conothraupis speculigera,Black-and-white Tanager,NT,LC,N,2022-1
Coua pyropyga,Chestnut-vented Coua,LC,NT,G,2022-1
Cranioleuca berlepschi,Russet-mantled Softtail,VU,NT,N,2022-1
Cranioleuca curtata,Ash-browed Spinetail,VU,LC,N,2022-1
Crithagra xantholaema,Salvadori's Seedeater,VU,NT,N,2022-1
Crypturellus boucardi,Slaty-breasted Tinamou,LC,VU,G,2022-1
Cyanochen cyanoptera,Blue-winged Goose,VU,NT,N,2022-1
Cyclopsitta coxeni,Coxen's Fig-parrot,EN,CR,N,2022-1
Cyornis magnirostris,Large Blue-flycatcher,LC,NT,G,2022-1
Cyornis sanfordi,Matinan Flycatcher,EN,LC,N,2022-1
Dasyornis brachypterus,Eastern Bristlebird,EN,VU,N,2022-1
Dicaeum haematostictum,Black-belted Flowerpecker,VU,LC,N,2022-1
Discosura popelairii,Wire-crested Thorntail,NT,LC,N,2022-1
Ducula whartoni,Christmas Island Imperial-pigeon,NT,LC,N,2022-1
Eleoscytalopus indigoticus,White-breasted Tapaculo,NT,LC,N,2022-1
Emberiza sulphurata,Yellow Bunting,VU,LC,N,2022-1
Eos cyanogenia,Black-winged Lory,VU,NT,N,2022-1
Erythrotriorchis radiatus,Red Goshawk,NT,EN,N,2022-1
Eudyptes schlegeli,Royal Penguin,NT,LC,N,2022-1
Falco novaeseelandiae,New Zealand Falcon,NT,LC,N,2022-1
Fregata andrewsi,Christmas Island Frigatebird,CR,VU,N,2022-1
Galbula pastazae,Coppery-chested Jacamar,VU,LC,N,2022-1
Gallinago hardwickii,Latham's Snipe,LC,NT,G,2022-1
Geophaps smithii,Partridge Pigeon,VU,LC,G,2022-1
Geothlypis flavovelata,Altamira Yellowthroat,VU,NT,N,2022-1
Gerygone modesta,Norfolk Island Gerygone,NT,LC,N,2022-1
Glaucidium albertinum,Albertine Owlet,VU,NT,N,2022-1
Grantiella picta,Painted Honeyeater,VU,LC,N,2022-1
Habia atrimaxillaris,Black-cheeked Ant-tanager,EN,NT,N,2022-1
Halcyon pileata,Black-capped Kingfisher,LC,VU,G,2022-1
Heliangelus regalis,Royal Sunangel,EN,NT,N,2022-1
Heliodoxa gularis,Pink-throated Brilliant,VU,LC,N,2022-1
Heliopais personatus,Masked Finfoot,EN,CR,G,2022-1
Hemiphaga novaeseelandiae,New Zealand Pigeon,NT,LC,G,2022-1
Herpsilochmus parkeri,Ash-throated Antwren,EN,VU,N,2022-1
Heteromyias cinereifrons,Grey-headed Robin,LC,NT,G,2022-1
Humblotia flavirostris,Humblot's Flycatcher,EN,VU,N,2022-1
Hylophilus olivaceus,Olivaceous Greenlet,NT,LC,N,2022-1
Hypotaenidia woodfordi,Guadalcanal Rail,NT,LC,N,2022-1
Hypsipetes parvirostris,Grand Comoro Bulbul,VU,NT,N,2022-1
Incaspiza watkinsi,Little Inca-finch,NT,VU,N,2022-1
Lanio leucothorax,White-throated Shrike-tanager,LC,NT,G,2022-1
Lanius senator,Woodchat Shrike,LC,NT,G,2022-1
Lanius validirostris,Mountain Shrike,NT,LC,N,2022-1
Lepidothrix isidorei,Blue-rumped Manakin,NT,LC,N,2022-1
Lophorina victoriae,Victoria's Riflebird,LC,VU,G,2022-1
Lophura erythrophthalma,Malay Crestless Fireback,VU,CR,G,2022-1
Lophura pyronota,Bornean Crestless Fireback,VU,EN,G,2022-1
Macronyx grimwoodi,Grimwood's Longclaw,DD,LC,N,2022-1
Melanodryas vittata,Dusky Robin,LC,VU,G,2022-1
Melithreptus validirostris,Strong-billed Honeyeater,LC,VU,G,2022-1
Menura alberti,Albert's Lyrebird,NT,LC,G,2022-1
Merulaxis ater,Slaty Bristlefront,NT,LC,N,2022-1
Metabolus takatsukasae,Tinian Monarch,VU,NT,N,2022-1
Micromacronus leytensis,Visayan Miniature Babbler,DD,NT,N,2022-1
Micropsitta geelvinkiana,Geelvink Pygmy-parrot,NT,LC,N,2022-1
Myadestes coloratus,Varied Solitaire,LC,NT,N,2022-1
Myiopsitta luchsi,Cliff Parakeet,LC,NT,N,2022-1
Neophema chrysostoma,Blue-winged Parrot,LC,VU,G,2022-1
Nesospingus speculiferus,Puerto Rican Tanager,LC,VU,G,2022-1
Ninox ios,Cinnabar Boobook,VU,LC,N,2022-1
Ninox leventisi,Camiguin Boobook,EN,VU,N,2022-1
Ninox rumseyi,Cebu Boobook,EN,VU,N,2022-1
Nyctiphrynus rosenbergi,Choco Poorwill,NT,LC,N,2022-1
Odontophorus melanotis,Black-eared Wood-quail,LC,NT,G,2022-1
Odontophorus speciosus,Rufous-breasted Wood-quail,NT,LC,N,2022-1
Odontorchilus cinereus,Tooth-billed Wren,NT,LC,N,2022-1
Oreoscopus gutturalis,Fernwren,LC,EN,G,2022-1
Pachyptila macgillivrayi,MacGillivray's Prion,EN,CR,N,2022-1
Patagioenas oenops,Peruvian Pigeon,VU,NT,G,2022-1
Pedionomus torquatus,Plains-wanderer,CR,EN,N,2022-1
Perisoreus internigrans,Sichuan Jay,VU,NT,N,2022-1
Petroica phoenicea,Flame Robin,NT,LC,G,2022-1
Petroica traversi,Black Robin,EN,VU,G,2022-1
Pezoporus occidentalis,Night Parrot,EN,CR,N,2022-1
Philemon brassi,Brass's Friarbird,NT,LC,N,2022-1
Phlogophilus harterti,Peruvian Piedtail,NT,LC,N,2022-1
Phlogophilus hemileucurus,Ecuadorian Piedtail,VU,LC,N,2022-1
Phyllastrephus poliocephalus,Grey-headed Greenbul,NT,LC,N,2022-1
Phyllastrephus viridiceps,Angola Greenbul,VU,NT,N,2022-1
Phylloscopus maforensis,Numfor Leaf-warbler,VU,NT,N,2022-1
Phylloscopus misoriensis,Biak Leaf-warbler,VU,NT,N,2022-1
Phylloscopus tytleri,Tytler's Leaf-warbler,NT,LC,N,2022-1
Pionites leucogaster,Green-thighed Parrot,EN,VU,N,2022-1
Pionites xanthurus,Yellow-tailed Parrot,VU,LC,N,2022-1
Pipreola chlorolepidota,Fiery-throated Fruiteater,NT,LC,N,2022-1
Pitta rosenbergii,Biak Hooded Pitta,VU,NT,N,2022-1
Pityriasis gymnocephala,Bornean Bristlehead,NT,VU,G,2022-1
Poliocephalus rufopectus,New Zealand Grebe,NT,LC,N,2022-1
Polyplectron malacense,Malay Peacock-pheasant,VU,EN,G,2022-1
Prionodura newtoniana,Golden Bowerbird,LC,NT,G,2022-1
Psilorhamphus guttatus,Spotted Bamboowren,NT,LC,N,2022-1
Pterodroma alba,Phoenix Petrel,EN,VU,N,2022-1
Pterodroma solandri,Providence Petrel,VU,LC,N,2022-1
Pteroglossus sturmii,Western Red-necked Araçari,NT,LC,N,2022-1
Ptilinopus roseicapilla,Mariana Fruit-dove,EN,NT,N,2022-1
