"taxonid","kingdom_name","phylum_name","class_name","order_name","family_name","genus_name","scientific_name","taxonomic_authority","infra_rank","infra_name","population","category","main_common_name"
59,"ANIMALIA","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","VALLONIIDAE","Acanthinula","Acanthinula spinifera","Mousson, 1872",NA,NA,NA,"DD",NA
81,"ANIMALIA","CHORDATA","ACTINOPTERYGII","SALMONIFORMES","SALMONIDAE","Salmo","Salmo ohridanus","Steindachner, 1892",NA,NA,NA,"VU",NA
215,"ANIMALIA","MOLLUSCA","GASTROPODA","ARCHITAENIOGLOSSA","ACICULIDAE","Acicula","Acicula norrisi","E. Gittenberger &amp; Boeters, 1977",NA,NA,NA,"VU",NA
217,"ANIMALIA","MOLLUSCA","GASTROPODA","ARCHITAENIOGLOSSA","ACICULIDAE","Acicula","Acicula hausdorfi","Boeters, Gittenberger &amp; Subai, 1989",NA,NA,NA,"NT",NA
224,"ANIMALIA","CHORDATA","ACTINOPTERYGII","ACIPENSERIFORMES","ACIPENSERIDAE","Acipenser","Acipenser naccarii","Bonaparte, 1836",NA,NA,NA,"CR","Adriatic Sturgeon"
225,"ANIMALIA","CHORDATA","ACTINOPTERYGII","ACIPENSERIFORMES","ACIPENSERIDAE","Acipenser","Acipenser nudiventris","Lovetsky, 1828",NA,NA,NA,"CR","Ship Sturgeon"
227,"ANIMALIA","CHORDATA","ACTINOPTERYGII","ACIPENSERIFORMES","ACIPENSERIDAE","Acipenser","Acipenser ruthenus","Linnaeus, 1758",NA,NA,NA,"VU","Sterlet"
229,"ANIMALIA","CHORDATA","ACTINOPTERYGII","ACIPENSERIFORMES","ACIPENSERIDAE","Acipenser","Acipenser stellatus","Pallas, 1771",NA,NA,NA,"CR","Stellate Sturgeon"
230,"ANIMALIA","CHORDATA","ACTINOPTERYGII","ACIPENSERIFORMES","ACIPENSERIDAE","Acipenser","Acipenser sturio","Linnaeus, 1758",NA,NA,NA,"CR","European Sturgeon"
232,"ANIMALIA","CHORDATA","ACTINOPTERYGII","ACIPENSERIFORMES","ACIPENSERIDAE","Acipenser","Acipenser gueldenstaedtii","Brandt &amp; Ratzeburg, 1833",NA,NA,NA,"CR","Russian Sturgeon"
235,"ANIMALIA","CHORDATA","ACTINOPTERYGII","ACIPENSERIFORMES","ACIPENSERIDAE","Acipenser","Acipenser persicus","Borodin, 1897",NA,NA,NA,"CR","Persian Sturgeon"
269,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","Acomys minous","Bate, 1906",NA,NA,NA,"DD","Crete Spiny Mouse"
271,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","Acomys nesiotes","Bate, 1903",NA,NA,NA,"DD","Cyprus Spiny Mouse"
499,"ANIMALIA","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","GEOMITRIDAE","Actinella","Actinella actinophora","(R.T. Lowe, 1831)",NA,NA,NA,"VU",NA
500,"ANIMALIA","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","GEOMITRIDAE","Plebecula","Plebecula anaglyptica","(Reeve, 1852)",NA,NA,NA,"NT",NA
501,"ANIMALIA","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","GEOMITRIDAE","Actinella","Actinella armitageana","(Lowe, 1852)",NA,NA,NA,"VU",NA
502,"ANIMALIA","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","GEOMITRIDAE","Actinella","Actinella carinofausta","Waldén, 1983",NA,NA,NA,"EN",NA
503,"ANIMALIA","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","GEOMITRIDAE","Domunculifex","Domunculifex littorinella","(J. Mabille, 1883)",NA,NA,NA,"VU",NA
