"taxonid","kingdom_name","phylum_name","class_name","order_name","family_name","genus_name","scientific_name","taxonomic_authority","infra_rank","infra_name","population","category","main_common_name"
217,"ANIMALIA","MOLLUSCA","GASTROPODA","ARCHITAENIOGLOSSA","ACICULIDAE","Acicula","Acicula hausdorfi","Boeters, Gittenberger &amp; Subai, 1989",NA,NA,NA,"NT",NA
219,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","Acinonyx","Acinonyx jubatus","(Schreber, 1775)",NA,NA,NA,"EN","Cheetah"
263,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","Acomys cahirinus","(É. Geoffroy, 1803)",NA,NA,NA,"LC","Cairo Spiny Mouse"
264,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","Acomys cilicicus","Spitzenberger, 1978",NA,NA,NA,"DD","Asia Minor Spiny Mouse"
269,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","Acomys minous","Bate, 1906",NA,NA,NA,"DD","Crete Spiny Mouse"
271,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","Acomys nesiotes","Bate, 1903",NA,NA,NA,"DD","Cyprus Spiny Mouse"
273,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","Acomys russatus","(Wagner, 1840)",NA,NA,NA,"DD","Golden Spiny Mouse"
512,"ANIMALIA","CHORDATA","MAMMALIA","CETARTIODACTYLA","BOVIDAE","Addax","Addax nasomaculatus","(de Blainville, 1816)",NA,NA,NA,"RE","Addax"
701,"ANIMALIA","ARTHROPODA","INSECTA","LEPIDOPTERA","LYCAENIDAE","Agriades","Agriades zullichi","(Hemming, 1933)",NA,NA,NA,"EN","Zullich's Blue"
811,"ANIMALIA","CHORDATA","MAMMALIA","CETARTIODACTYLA","BOVIDAE","Alcelaphus","Alcelaphus buselaphus","(Pallas, 1766)",NA,NA,NA,"RE","Hartebeest"
850,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","DIPODIDAE","Allactaga","Allactaga tetradactyla","(Lichtenstein, 1823)",NA,NA,NA,"DD","Four-toed Jerboa"
854,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","DIPODIDAE","Scarturus","Scarturus euphratica","Thomas, 1881",NA,NA,NA,"NT","Euphrates Jerboa"
877,"ANIMALIA","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","HELICIDAE","Allognathus","Allognathus graellsianus","(Pfeiffer, 1853)",NA,NA,NA,"LC",NA
1151,"ANIMALIA","CHORDATA","MAMMALIA","CETARTIODACTYLA","BOVIDAE","Ammotragus","Ammotragus lervia","(Pallas, 1777)",NA,NA,NA,"VU","Aoudad"
1888,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Apodemus","Apodemus agrarius","(Pallas, 1771)",NA,NA,NA,"LC","Striped Field Mouse"
1892,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Apodemus","Apodemus flavicollis","(Melchior, 1834)",NA,NA,NA,"LC","Yellow-necked Field Mouse"
1898,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Apodemus","Apodemus mystacinus","(Danford &amp; Alston, 1877)",NA,NA,NA,"LC","Eastern Broad-toothed Field Mouse"
1904,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Apodemus","Apodemus sylvaticus","(Linnaeus, 1758)",NA,NA,NA,"LC","Long-tailed Field Mouse"
1905,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Apodemus","Apodemus uralensis","(Pallas, 1811)",NA,NA,NA,"NA","Herb Field Mouse"
1907,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Apodemus","Apodemus alpicola","Heinrich, 1952",NA,NA,NA,"LC","Alpine Field Mouse"
2092,"ANIMALIA","MOLLUSCA","GASTROPODA","LITTORINIMORPHA","HYDROBIIDAE","Heraultiella","Heraultiella exilis","(Paladilhe, 1867)",NA,NA,NA,"VU",NA
2147,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Arvicanthis","Arvicanthis niloticus","(É. Geoffroy, 1803)",NA,NA,NA,"NA","African Grass Rat"
2149,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Arvicola","Arvicola amphibius","(Linnaeus, 1758)",NA,NA,NA,"LC","European Water Vole"
2150,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Arvicola","Arvicola sapidus","Miller, 1908",NA,NA,NA,"VU","Southern Water Vole"
2346,"ANIMALIA","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","HELICODONTIDAE","Atenia","Atenia quadrasi","Hidalgo, 1885",NA,NA,NA,"LC",NA
2352,"ANIMALIA","CHORDATA","ACTINOPTERYGII","ATHERINIFORMES","ATHERINIDAE","Atherina","Atherina boyeri","Risso, 1810",NA,NA,NA,"LC","Black Sea Silverside"
2358,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","SCIURIDAE","Atlantoxerus","Atlantoxerus getulus","(Linnaeus, 1758)",NA,NA,NA,"LC","Barbary Ground Squirrel"
2463,"ANIMALIA","ARTHROPODA","INSECTA","ORTHOPTERA","TETTIGONIIDAE","Baetica","Baetica ustulata","(Rambur, 1839)",NA,NA,NA,"EN","Sierra Nevadan Saddle Bush-cricket"
2478,"ANIMALIA","CHORDATA","MAMMALIA","CETARTIODACTYLA","BALAENOPTERIDAE","Balaenoptera","Balaenoptera physalus","(Linnaeus, 1758)",NA,NA,NA,"VU","Fin Whale"
2553,"ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Barbastella","Barbastella barbastellus","(Schreber, 1774)",NA,NA,NA,"NT","Western Barbastelle"
3334,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","BUPRESTIDAE","Buprestis","Buprestis splendens","Fabricius, 1775",NA,NA,NA,"VU","Goldstreifiger"
3400,"ANIMALIA","MOLLUSCA","GASTROPODA","LITTORINIMORPHA","MOITESSIERIIDAE","Bythiospeum","Bythiospeum garnieri","(Sayn, 1889)",NA,NA,NA,"LC",NA
3618,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CALOMYSCIDAE","Calomyscus","Calomyscus bailwardi","Thomas, 1905",NA,NA,NA,"DD","Mouse-like Hamster"
3622,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CALOMYSCIDAE","Calomyscus","Calomyscus tsolovi","Peshev, 1991",NA,NA,NA,"DD","Tsolov's Mouse-like Hamster"
3628,"ANIMALIA","ARTHROPODA","INSECTA","ODONATA","CALOPTERYGIDAE","Calopteryx","Calopteryx syriaca","Rambur, 1842",NA,NA,NA,"EN","Syrian Demoiselle"
3739,"ANIMALIA","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","GEOMITRIDAE","Xeroplexa","Xeroplexa setubalensis","(L. Pfeiffer, 1850)",NA,NA,NA,"EN",NA
3746,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","CANIDAE","Canis","Canis lupus","Linnaeus, 1758",NA,NA,NA,"LC","Grey Wolf"
3786,"ANIMALIA","CHORDATA","MAMMALIA","CETARTIODACTYLA","BOVIDAE","Capra","Capra aegagrus","Erxleben, 1777",NA,NA,NA,"VU","Wild Goat"
3796,"ANIMALIA","CHORDATA","MAMMALIA","CETARTIODACTYLA","BOVIDAE","Capra","Capra nubiana","F. Cuvier, 1825",NA,NA,NA,"VU","Nubian Ibex"
3798,"ANIMALIA","CHORDATA","MAMMALIA","CETARTIODACTYLA","BOVIDAE","Capra","Capra pyrenaica","Schinz, 1838",NA,NA,NA,"LC","Iberian Wild Goat"
3847,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","Caracal","Caracal caracal","(Schreber, 1776)",NA,NA,NA,"NT","Caracal"
3851,"ANIMALIA","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","CARCHARHINIDAE","Carcharhinus","Carcharhinus limbatus","(Müller &amp; Henle, 1839)",NA,NA,NA,"DD","Blacktip Shark"
3852,"ANIMALIA","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","CARCHARHINIDAE","Carcharhinus","Carcharhinus obscurus","(Lesueur, 1818)",NA,NA,NA,"DD","Dusky Shark"
3853,"ANIMALIA","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","CARCHARHINIDAE","Carcharhinus","Carcharhinus plumbeus","(Nardo, 1827)",NA,NA,NA,"EN","Sandbar Shark"
3854,"ANIMALIA","CHORDATA","CHONDRICHTHYES","LAMNIFORMES","ODONTASPIDIDAE","Carcharias","Carcharias taurus","Rafinesque, 1810",NA,NA,NA,"CR","Sand Tiger Shark"
3855,"ANIMALIA","CHORDATA","CHONDRICHTHYES","LAMNIFORMES","LAMNIDAE","Carcharodon","Carcharodon carcharias","(Linnaeus, 1758)",NA,NA,NA,"CR","White Shark"
4007,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CASTORIDAE","Castor","Castor fiber","Linnaeus, 1758",NA,NA,NA,"LC","Eurasian Beaver"
4166,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Cerambyx","Cerambyx cerdo","Linnaeus, 1758",NA,NA,NA,"LC","Cerambyx Longicorn"
4292,"ANIMALIA","CHORDATA","CHONDRICHTHYES","LAMNIFORMES","CETORHINIDAE","Cetorhinus","Cetorhinus maximus","(Gunnerus, 1765)",NA,NA,NA,"EN","Basking Shark"
4658,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Chionomys","Chionomys gud","(Satunin, 1909)",NA,NA,NA,"LC","Caucasian Snow Vole"
4659,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Chionomys","Chionomys nivalis","(Martins, 1842)",NA,NA,NA,"LC","European Snow Vole"
4660,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Chionomys","Chionomys roberti","(Thomas, 1906)",NA,NA,NA,"DD","Robert's Snow Vole"
4973,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Myodes","Myodes glareolus","(Schreber, 1780)",NA,NA,NA,"LC","Bank Vole"
5056,"ANIMALIA","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","HELICIDAE","Codringtonia","Codringtonia codringtonii","(Gray, 1834)",NA,NA,NA,"EN","Rock Snail"
5100,"ANIMALIA","ARTHROPODA","INSECTA","LEPIDOPTERA","NYMPHALIDAE","Coenonympha","Coenonympha oedippus","(Fabricius, 1787)",NA,NA,NA,"NA","False Ringlet"
5528,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Cricetulus","Cricetulus migratorius","(Pallas, 1773)",NA,NA,NA,"LC","Grey Dwarf Hamster"
5529,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Cricetus","Cricetus cricetus","(Linnaeus, 1758)",NA,NA,NA,"NA","Common Hamster"
5560,"ANIMALIA","CHORDATA","MAMMALIA","EULIPOTYPHLA","SORICIDAE","Crocidura","Crocidura canariensis","Hutterer, López-Jurado, &amp; Vogel, 1987",NA,NA,NA,"EN","Canary Shrew"
5588,"ANIMALIA","CHORDATA","MAMMALIA","EULIPOTYPHLA","SORICIDAE","Crocidura","Crocidura zimmermanni","Wettstein, 1953",NA,NA,NA,"EN","Zimmermann's Shrew"
5600,"ANIMALIA","CHORDATA","MAMMALIA","EULIPOTYPHLA","SORICIDAE","Crocidura","Crocidura floweri","Dollman, 1915",NA,NA,NA,"DD","Flower's Shrew"
5616,"ANIMALIA","CHORDATA","MAMMALIA","EULIPOTYPHLA","SORICIDAE","Crocidura","Crocidura religiosa","(I. Geoffroy, 1827)",NA,NA,NA,"DD","Egyptian Pygmy Shrew"
5792,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CTENODACTYLIDAE","Ctenodactylus","Ctenodactylus gundi","(Rothmann, 1776)",NA,NA,NA,"LC","North African Gundi"
5793,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CTENODACTYLIDAE","Ctenodactylus","Ctenodactylus vali","Thomas, 1902",NA,NA,NA,"DD","Val's Gundi"
6229,"ANIMALIA","CHORDATA","CHONDRICHTHYES","SQUALIFORMES","DALATIIDAE","Dalatias","Dalatias licha","(Bonnaterre, 1788)",NA,NA,NA,"VU","Kitefin Shark"
