"Species","ConservationStart","NumProjects","SumTotalBudgetWeighted","SumEUContributionWeighted","taxonid","scientific_name","region_identifier","1965","1978","1982","1983","1985","1986","1988","1990","1994","1996","1997","1998","2000","2002","2003","2004","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","current_category","ConservationProjects"
"Abida ateni",NA,NA,NA,NA,190498,"Abida ateni","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",FALSE
"Abida attenuata",NA,NA,NA,NA,156905,"Abida attenuata","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Abida bigerrensis",NA,NA,NA,NA,156761,"Abida bigerrensis","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Abida cylindrica",NA,NA,NA,NA,156390,"Abida cylindrica","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Abida gittenbergeri",NA,NA,NA,NA,156989,"Abida gittenbergeri","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",FALSE
"Abida occidentalis",NA,NA,NA,NA,156823,"Abida occidentalis","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Abida partioti",NA,NA,NA,NA,156351,"Abida partioti","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Abida polyodon",NA,NA,NA,NA,156829,"Abida polyodon","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Abida pyrenaearia",NA,NA,NA,NA,156755,"Abida pyrenaearia","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Abida secale",NA,NA,NA,NA,157127,"Abida secale","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
