"Species","ConservationStart","NumProjects","SumTotalBudgetWeighted","SumEUContributionWeighted"
"Lynx pardinus",1994,30,100597530,54684715
"Ursus arctos",1992,88,75897130,51784642
"Crex crex",1992,68,69238505,37844789
"Botaurus stellaris",1994,85,64425070,36796427
"Margaritifera margaritifera",1992,32,57180996,31789538
"Canis lupus",1992,47,50771819,32968684
"Salmo salar",1997,33,45621242,23505494
"Leucorrhinia pectoralis",1997,30,42452355,23813730
"Triturus cristatus",1995,48,41351482,21242513
"Limosa limosa",2009,12,37848842,17894620
"Otis tarda",1992,22,33258179,20481539
"Dendrocopos leucotos",1995,11,33163339,12223091
"Cottus gobio",1999,55,31547839,15996530
"Lycaena helle",2003,17,31382762,18820309
"Lutra lutra",1992,43,28668944,15345095
"Alosa fallax",1999,8,28297250,8926352
"Tetrao urogallus",1992,23,28167857,14170178
"Caretta caretta",1992,23,27736839,17774009
"Osmoderma eremita",1995,26,27644138,15161313
"Gypaetus barbatus",1993,30,25888049,16693513
"Hieraaetus fasciatus",1997,29,24384900,16862844
"Hucho hucho",1999,15,24034809,10187690
"Neophron percnopterus",1996,27,23821803,15432443
"Euphydryas aurinia",2001,26,23604379,13080952
"Sterna hirundo",1992,45,22759873,11726398
"Aegypius monachus",1993,25,22032343,13083705
"Caprimulgus europaeus",1993,32,22011214,10897098
"Sterna albifrons",1992,34,21309985,10939720
"Falco naumanni",1994,34,21229881,14312101
"Lanius collurio",1999,44,21097737,10901119
"Aquila pomarina",1999,22,19395746,13739851
"Unio crassus",2002,18,19336300,8087868
"Cobitis taenia",1999,32,19077293,9128258
"Bombina bombina",1999,24,18668185,10340079
"Acrocephalus paludicola",1992,15,18543861,13068985
"Lampetra planeri",1992,29,17996522,9188391
"Alcedo atthis",1995,48,17584584,8715438
"Aquila heliaca",1994,13,17561835,11095100
"Bufo calamita",1995,23,17559992,9560700
"Mustela lutreola",2001,14,17555351,11418005
"Recurvirostra avosetta",1994,30,17507037,9696041
"Myotis emarginatus",1996,24,16870478,9959603
"Lullula arborea",1993,34,15943308,8252986
"Emys orbicularis",1994,38,15641208,8582522
"Circus aeruginosus",1994,47,15319545,7972703
"Bombina variegata",1996,40,15251656,8171028
"Coregonus oxyrhynchus",2005,4,14965462,8820541
"Philomachus pugnax",2003,27,13857597,7548297
"Ciconia nigra",1996,33,13667844,8199269
"Porzana porzana",2003,33,13614856,7268143
"Phocoena phocoena",1996,7,13367806,6667663
"Monachus monachus",1992,13,13159429,9180264
"Luronium natans",1995,17,13077070,6300574
"Luscinia svecica",1998,25,12960501,6805863
"Vertigo angustior",1999,12,12889184,6814996
"Austropotamobius pallipes",1994,22,12808851,6387074
"Larus audouinii",1994,21,12595896,7630958
"Tursiops truncatus",1997,15,12497617,6688270
"Tetrax tetrax",1993,21,12266837,7391411
"Lucanus cervus",1997,26,12224858,6448463
"Alytes obstetricans",2004,11,12132482,6003603
"Falco cherrug",2006,11,12106373,8983747
"Circus cyaneus",2001,20,12073929,6433308
"Ciconia ciconia",1992,26,11738027,6234711
"Rhinolophus hipposideros",1996,30,11624448,6955065
"Lynx lynx",1998,13,11472350,6495991
"Numenius arquata",2009,11,11326769,6418095
"Misgurnus fossilis",2006,22,11138060,5191290
"Pteromys volans",1995,5,11020084,7731707
"Coenagrion mercuriale",1996,13,10845206,5621840
"Aythya nyroca",1995,31,10802308,7111509
"Cypripedium calceolus",1997,20,10772979,5534807
"Anser erythropus",1994,10,10763046,7885839
"Grus grus",1993,24,10287885,5926305
"Rhinolophus ferrumequinum",1996,27,10245617,6079467
"Actitis hypoleucos",2009,7,10243752,3133176
"Myotis myotis",1996,30,10232302,6191056
"Aspius aspius",2005,13,10199873,2941349
"Tringa glareola",1993,24,10109131,5653096
"Oxyura leucocephala",1994,9,10089893,6013810
"Castor fiber",1992,19,9948050,4927273
"Liparis loeselii",1995,21,9490216,4950234
"Gyps fulvus",1993,15,9425906,5602195
"Haliaeetus albicilla",1995,25,9300480,5161033
"Lycaena dispar",1999,18,9248906,4587027
"Microtus oeconomus mehelyi",2010,2,9212139,6909101
"Valencia hispanica",1992,6,9189650,6115672
"Charadrius dubius",2009,5,9014843,2518721
"Rhodeus sericeus amarus",2002,19,8923121,3879157
"Alosa alosa",1999,10,8887084,4766445
"Galemys pyrenaicus",1994,9,8866197,4653416
"Burhinus oedicnemus",1993,18,8647540,4430043
"Petromyzon marinus",1992,13,8448613,4810745
"Coracias garrulus",2001,11,8421938,5970111
"Ixobrychus minutus",1995,31,8389432,3858149
"Spermophilus citellus",2006,6,8339733,5339808
"Lampetra fluviatilis",1992,16,8219485,4346716
"Puffinus puffinus mauretanicus",1995,6,8209717,4288137
"Rosalia alpina",1997,16,8194782,4693204
"Vertigo moulinsiana",1999,13,8168304,4441369
"Falco vespertinus",2006,9,8125608,5329103
"Tringa totanus",2009,12,8046776,4482388
"Tetrao tetrix",2013,5,7940874,4696635
"Pyrrhula murina",1994,6,7649759,5218396
"Triturus carnifex",1997,24,7576618,3951252
"Milvus milvus",1996,18,7566996,4411264
"Puffinus yelkouan",1998,13,7479722,4193737
"Calonectris diomedea",1994,21,7426681,4071220
