"Reference","StartYear","EndYear","TotalBudgetWeighted","EUContributionWeighted","ProjectLocation","Species","SingleSpeciesProyect"
"LIFE10 NAT/ES/000570",2011,2017,34015188,20943399,NA,"Lynx pardinus",TRUE
"LIFE18 NAT/RO/001082",2019,2024,27619867,9378982,NA,"Dendrocopos leucotos",TRUE
"LIFE19 IPE/DE/000004",2020,2030,27061079,12000000,NA,"Limosa limosa",TRUE
"LIFE15 NAT/UK/000219",2016,2022,25991094,7778396,NA,"Alosa fallax",TRUE
"LIFE06 NAT/E/000209",2006,2012,25971489,9869166,NA,"Lynx pardinus",TRUE
"LIFE10 NAT/DE/000011",2011,2022,22298742,13379245,NA,"Crex crex",TRUE
"LIFE19 NAT/ES/001055",2020,2025,18754029,11378919,NA,"Lynx pardinus",TRUE
"LIFE03 NAT/B/000024",2003,2010,15322373,6555658,"Vlaanderen","Leucorrhinia pectoralis",TRUE
"LIFE05 NAT/DK/000153",2005,2012,13385913,8031548,NA,"Coregonus oxyrhynchus",TRUE
"LIFE11 NAT/DE/000344",2012,2023,11393197,8544897,NA,"Leucorrhinia pectoralis",TRUE
"LIFE02 NAT/E/008609",2002,2006,9285714,3900000,"Andalucía","Lynx pardinus",TRUE
"LIFE17 NAT/FI/000469",2018,2025,8886666,6664999,NA,"Pteromys volans",TRUE
"LIFE15 NAT/AT/000834",2016,2023,8399265,5962905,NA,"Otis tarda",TRUE
"LIFE08 NAT/NL/000192",2010,2016,7885287,3942643,NA,"Triturus cristatus",TRUE
"LIFE19 NAT/BE/000093",2021,2027,7587766,5690795,NA,"Lycaena helle",FALSE
"LIFE19 NAT/BE/000093",2021,2027,7587766,5690795,NA,"Margaritifera margaritifera",FALSE
"LIFE02 NAT/UK/008541",2002,2007,7355440,3677720,"North East Scotland","Tetrao urogallus",TRUE
"LIFE09 NAT/ES/000513",2010,2016,7028505,3509252,NA,"Tetrao urogallus",TRUE
"LIFE10 NAT/BE/000706",2012,2020,6840350,3420175,NA,"Lycaena helle",TRUE
"LIFE16 NAT/SI/000634",2017,2024,6829377,4081404,NA,"Lynx lynx",TRUE
"LIFE09 NAT/NL/000418",2010,2016,6700899,3350449,NA,"Vertigo angustior",TRUE
"LIFE99 NAT/E/006327",1999,2003,6490931,3171144,"Castilla-La Mancha","Aegypius monachus",TRUE
"LIFE02 NAT/UK/008527",2002,2006,6484498,3890699,"England","Botaurus stellaris",TRUE
"LIFE19 NAT/ES/000906",2021,2025,6370453,4777623,NA,"Marmaronetta angustirostris",TRUE
"LIFE09 NAT/ES/000531",2010,2015,6323807,3877164,NA,"Mustela lutreola",TRUE
"LIFE12 NAT/IT/000807",2013,2018,6100454,4174309,NA,"Canis lupus",TRUE
"LIFE18 NAT/LU/000136",2019,2025,6002264,3601358,NA,"Myotis emarginatus",TRUE
"LIFE14 NAT/SK/001306",2015,2024,5999420,3599651,NA,"Bombina bombina",TRUE
"LIFE13 NAT/SI/000550",2014,2019,5987478,4149202,NA,"Ursus arctos",TRUE
"LIFE13 NAT/FR/000506",2014,2021,5855204,2927602,NA,"Margaritifera margaritifera",TRUE
"LIFE16 NAT/BG/000874",2017,2022,5848458,4386343,NA,"Neophron percnopterus",TRUE
"LIFE17 NAT/CZ/000452",2018,2024,5845002,3507002,NA,"Tetrao tetrix",TRUE
"LIFE05 NAT/A/000077",2005,2010,5840760,3504456,NA,"Otis tarda",TRUE
"LIFE19 NAT/LT/000898",2020,2025,5689448,4263543,NA,"Anser erythropus",TRUE
"LIFE14 NAT/FR/000050",2015,2022,5631742,4157440,NA,"Gypaetus barbatus",TRUE
"LIFE18 ENV/DK/000610",2019,2022,5617020,2400000,NA,"Alytes obstetricans",TRUE
"LIFE13 NAT/UK/000451",2014,2019,5592243,2638276,NA,"Caprimulgus europaeus",TRUE
"LIFE17 NAT/SK/000621",2018,2025,5586121,4189588,NA,"Microtus oeconomus mehelyi",TRUE
"LIFE18 NAT/FI/000394",2019,2025,5513267,3017647,NA,"Canis lupus",TRUE
"LIFE05 NAT/PL/000101",2005,2011,5457109,4092832,"Pomerania and Biebrza regions, PL","Acrocephalus paludicola",TRUE
"LIFE19 NAT/SK/001069",2020,2027,5428988,3257391,NA,"Spermophilus citellus",TRUE
