"Species","PrvCategory","PstCategory","ReasonForChange","RedListVersion"
"Cephalophus spadix","VU","EN","G","2007"
"Gazella spekei","VU","EN","G","2007"
"Gorilla gorilla","EN","CR","G","2007"
"Lipotes vexillifer","CR","CR (PE)","G","2007"
"Procapra picticaudata","LC","NT","G","2007"
"Branta ruficollis","VU","EN","G","2007"
"Charadrius sanctaehelenae","VU","CR","G","2007"
"Houbaropsis bengalensis","EN","CR","G","2007"
"Neophron percnopterus","LC","EN","G","2007"
"Phoebastria irrorata","VU","CR","G","2007"
"Psittacula eques","CR","EN","G","2007"
"Sarcogyps calvus","LC","VU","G","2007"
"Gavialis gangeticus","EN","CR","G","2007"
"Serranochromis meridianus","LR/cd","EN","G","2007"
"Gulo gulo","VU","NT","G","2008"
"Mustela nigripes","EW","EN","G","2008"
"Arctocephalus philippii","VU","NT","G","2008"
"Arctocephalus townsendi","VU","NT","G","2008"
"Balaena mysticetus","LR/cd","LC","G","2008"
"Eubalaena australis","LR/cd","LC","G","2008"
"Megaptera novaeangliae","VU","LC","G","2008"
"Bison bonasus","EN","VU","G","2008"
"Capra pyrenaica","LR/nt","LC","G","2008"
"Capra walie","CR","EN","G","2008"
"Procapra przewalskii","CR","EN","G","2008"
"Rupicapra pyrenaica","LR/cd","LC","G","2008"
"Eschrichtius robustus","LR/cd","LC","G","2008"
"Pteropus dasymallus","EN","NT","G","2008"
"Pteropus molossinus","CR","VU","G","2008"
"Pteropus samoensis","VU","NT","G","2008"
"Corynorhinus rafinesquii","VU","LC","G","2008"
"Corynorhinus townsendii","VU","LC","G","2008"
"Myotis emarginatus","VU","LC","G","2008"
"Myotis grisescens","EN","NT","G","2008"
"Dasyurus geoffroii","VU","NT","G","2008"
"Dendrolagus lumholtzi","LR/nt","LC","G","2008"
"Macropus irma","LR/nt","LC","G","2008"
"Bettongia lesueur","VU","NT","G","2008"
"Pseudochirulus cinereus","LR/nt","LC","G","2008"
"Pseudochirulus herbertensis","LR/nt","LC","G","2008"
"Equus ferus","EW","CR","G","2008"
"Equus zebra","EN","VU","G","2008"
"Rhinoceros unicornis","EN","VU","G","2008"
"Leontopithecus chrysopygus","CR","EN","G","2008"
"Loxodonta africana","VU","NT","G","2008"
"Castor fiber","NT","LC","G","2008"
"Leporillus conditor","EN","VU","G","2008"
"Pseudomys fieldi","CR","VU","G","2008"
"Pseudomys occidentalis","EN","LC","G","2008"
"Spermophilus suslicus","VU","NT","G","2008"
"Spermophilus washingtoni","VU","NT","G","2008"
"Panthera pardus","LC","NT","G","2008"
"Prionailurus planiceps","VU","EN","G","2008"
"Prionailurus viverrinus","VU","EN","G","2008"
"Spilogale pygmaea","LR/lc","VU","G","2008"
"Aonyx cinerea","NT","VU","G","2008"
"Mustela altaica","LR/lc","NT","G","2008"
"Vormela peregusna","LR/lc","VU","G","2008"
"Arctocephalus galapagoensis","VU","EN","G","2008"
"Neophoca cinerea","LR/lc","EN","G","2008"
"Zalophus wollebaeki","VU","EN","G","2008"
"Monachus schauinslandi","EN","CR","G","2008"
"Hemigalus derbyanus","LR/lc","VU","G","2008"
"Paradoxurus zeylonensis","LR/lc","VU","G","2008"
"Cephalophus jentinki","VU","EN","G","2008"
"Kobus megaceros","LR/nt","EN","G","2008"
"Axis kuhlii","EN","CR","G","2008"
"Hydropotes inermis","LR/nt","VU","G","2008"
"Rucervus eldii","VU","EN","G","2008"
"Rusa timorensis","LR/lc","VU","G","2008"
"Rusa unicolor","LR/lc","VU","G","2008"
"Sus barbatus","LR/lc","VU","G","2008"
"Sus celebensis","LR/lc","NT","G","2008"
"Tayassu pecari","LR/lc","NT","G","2008"
"Amorphochilus schnablii","VU","EN","G","2008"
"Coelops robinsoni","LR/nt","VU","G","2008"
"Tadarida johorensis","LR/nt","VU","G","2008"
"Tadarida mops","LR/lc","NT","G","2008"
"Nycteris tragata","LR/lc","NT","G","2008"
"Lonchorhina fernandezi","VU","EN","G","2008"
"Lonchorhina orinocensis","LR/nt","VU","G","2008"
"Platyrrhinus chocoensis","VU","EN","G","2008"
"Acerodon mackloti","LR/lc","VU","G","2008"
"Eidolon helvum","LC","NT","G","2008"
"Megaerops wetmorei","LR/lc","VU","G","2008"
"Pteropus caniceps","LR/lc","NT","G","2008"
"Pteropus lylei","LR/lc","VU","G","2008"
"Pteropus melanopogon","LR/lc","EN","G","2008"
"Pteropus niger","VU","EN","G","2008"
"Pteropus temminckii","LR/nt","VU","G","2008"
"Pteropus vampyrus","LR/lc","NT","G","2008"
"Pteropus woodfordi","LR/lc","VU","G","2008"
"Rousettus bidens","LR/nt","VU","G","2008"
"Styloctenium wallacei","LR/nt","VU","G","2008"
"Rhinolophus cognatus","VU","EN","G","2008"
"Rhinolophus sedulus","LR/lc","NT","G","2008"
"Corynorhinus mexicanus","LR/lc","NT","G","2008"
"Hesperoptenus tomesi","LR/lc","VU","G","2008"
"Kerivoula pellucida","LR/lc","NT","G","2008"
"Murina aenea","LR/nt","VU","G","2008"
"Murina rozendaali","LR/nt","VU","G","2008"
"Phoniscus atrox","LR/lc","NT","G","2008"
"Rhogeessa minutilla","LR/nt","VU","G","2008"
"Dasyurus hallucatus","LR/nt","EN","G","2008"
"Pseudantechinus bilarni","LR/lc","NT","G","2008"
"Sarcophilus harrisii","LR/lc","EN","G","2008"
"Myrmecobius fasciatus","VU","EN","G","2008"
"Burramys parvus","EN","CR","G","2008"
"Dendrolagus mbaiso","VU","CR","G","2008"
"Dendrolagus scottae","EN","CR","G","2008"
"Dorcopsis luctuosa","LR/lc","VU","G","2008"
"Dorcopsulus vanheurni","LR/lc","NT","G","2008"
"Petaurus abidi","VU","CR","G","2008"
"Phalanger lullulae","LR/lc","EN","G","2008"
"Phalanger matanim","EN","CR","G","2008"
"Spilocuscus kraemeri","LR/lc","NT","G","2008"
"Spilocuscus rufoniger","EN","CR","G","2008"
"Bettongia penicillata","LR/cd","CR","G","2008"
"Pseudochirops coronatus","LR/lc","VU","G","2008"
"Ochotona iliensis","VU","EN","G","2008"
"Equus hemionus","VU","EN","G","2008"
"Manis javanica","LR/nt","EN","G","2008"
"Manis pentadactyla","LR/nt","EN","G","2008"
"Saguinus niger","LC","VU","G","2008"
"Macaca hecki","LR/nt","VU","G","2008"
