"Species","PrvCategory","PstCategory","ReasonForChange","RedListVersion","synonym"
"Cephalophus spadix","VU","EN","G","2007","Cephalophus spadix"
"Gazella spekei","VU","EN","G","2007","Gazella spekei"
"Gorilla gorilla","EN","CR","G","2007","Gorilla gorilla"
"Lipotes vexillifer","CR","CR (PE)","G","2007","Lipotes vexillifer"
"Procapra picticaudata","LC","NT","G","2007","Procapra picticaudata"
"Branta ruficollis","VU","EN","G","2007","Branta ruficollis"
"Charadrius sanctaehelenae","VU","CR","G","2007","Charadrius sanctaehelenae"
"Houbaropsis bengalensis","EN","CR","G","2007","Houbaropsis bengalensis"
"Neophron percnopterus","LC","EN","G","2007","Neophron percnopterus"
"Phoebastria irrorata","VU","CR","G","2007","Phoebastria irrorata"
"Psittacula eques","CR","EN","G","2007","Psittacula eques"
"Sarcogyps calvus","LC","VU","G","2007","Sarcogyps calvus"
"Gavialis gangeticus","EN","CR","G","2007","Gavialis gangeticus"
"Serranochromis meridianus","LR/cd","EN","G","2007","Serranochromis meridianus"
"Gulo gulo","VU","NT","G","2008","Gulo luscus"
"Gulo gulo","VU","NT","G","2008","Mustela gulo"
"Gulo gulo","VU","NT","G","2008","Gulo gulo"
"Mustela nigripes","EW","EN","G","2008","Mustela nigripes"
"Arctocephalus philippii","VU","NT","G","2008","Arctocephalus philippii"
"Arctocephalus townsendi","VU","NT","G","2008","Arctocephalus townsendi"
"Balaena mysticetus","LR/cd","LC","G","2008","Balaena mysticetus"
"Eubalaena australis","LR/cd","LC","G","2008","Eubalaena australis"
"Megaptera novaeangliae","VU","LC","G","2008","Balaena novaeangliae"
"Megaptera novaeangliae","VU","LC","G","2008","Megaptera novaeangliae"
"Bison bonasus","EN","VU","G","2008","Bos bonasus"
"Bison bonasus","EN","VU","G","2008","Bison bonasus"
"Capra pyrenaica","LR/nt","LC","G","2008","Capra pyrenaica"
"Capra walie","CR","EN","G","2008","Capra walie"
"Procapra przewalskii","CR","EN","G","2008","Procapra przewalskii"
"Rupicapra pyrenaica","LR/cd","LC","G","2008","Rupicapra pyrenaica"
"Eschrichtius robustus","LR/cd","LC","G","2008","Balaenoptera robusta"
"Eschrichtius robustus","LR/cd","LC","G","2008","Eschrichtius gibbosus"
"Eschrichtius robustus","LR/cd","LC","G","2008","Eschrichtius robustus"
"Pteropus dasymallus","EN","NT","G","2008","Pteropus dasymallus"
"Pteropus molossinus","CR","VU","G","2008","Pteropus molossinus"
"Pteropus samoensis","VU","NT","G","2008","Pteropus samoensis"
"Corynorhinus rafinesquii","VU","LC","G","2008","Corynorhinus rafinesquii"
"Corynorhinus townsendii","VU","LC","G","2008","Corynorhinus townsendii"
"Myotis emarginatus","VU","LC","G","2008","Vespertilio emarginatus"
"Myotis emarginatus","VU","LC","G","2008","Myotis emarginatus"
"Myotis grisescens","EN","NT","G","2008","Myotis grisescens"
"Dasyurus geoffroii","VU","NT","G","2008","Dasyurus geoffroii"
"Dendrolagus lumholtzi","LR/nt","LC","G","2008","Dendrolagus lumholtzi"
"Macropus irma","LR/nt","LC","G","2008","Macropus irma"
"Bettongia lesueur","VU","NT","G","2008","Bettongia lesueur"
"Pseudochirulus cinereus","LR/nt","LC","G","2008","Pseudochirulus cinereus"
"Pseudochirulus herbertensis","LR/nt","LC","G","2008","Pseudochirulus herbertensis"
"Equus ferus","EW","CR","G","2008","Equus ferus"
"Equus zebra","EN","VU","G","2008","Equus zebra"
"Rhinoceros unicornis","EN","VU","G","2008","Rhinoceros unicornis"
"Leontopithecus chrysopygus","CR","EN","G","2008","Leontopithecus chrysopygus"
"Loxodonta africana","VU","NT","G","2008","Loxodonta africana"
"Castor fiber","NT","LC","G","2008","Castor fiber"
"Leporillus conditor","EN","VU","G","2008","Leporillus conditor"
"Pseudomys fieldi","CR","VU","G","2008","Pseudomys fieldi"
"Pseudomys occidentalis","EN","LC","G","2008","Pseudomys occidentalis"
"Spermophilus suslicus","VU","NT","G","2008","Spermophilus suslicus"
"Spermophilus washingtoni","VU","NT","G","2008","Spermophilus washingtoni"
"Panthera pardus","LC","NT","G","2008","Felis pardus"
"Panthera pardus","LC","NT","G","2008","Panthera pardus"
"Prionailurus planiceps","VU","EN","G","2008","Prionailurus planiceps"
"Prionailurus viverrinus","VU","EN","G","2008","Prionailurus viverrinus"
"Spilogale pygmaea","LR/lc","VU","G","2008","Spilogale pygmaea"
"Aonyx cinerea","NT","VU","G","2008","Aonyx cinerea"
"Mustela altaica","LR/lc","NT","G","2008","Mustela altaica"
"Vormela peregusna","LR/lc","VU","G","2008","Mustela peregusna"
"Vormela peregusna","LR/lc","VU","G","2008","Vormela peregusna"
"Arctocephalus galapagoensis","VU","EN","G","2008","Arctocephalus galapagoensis"
"Neophoca cinerea","LR/lc","EN","G","2008","Neophoca cinerea"
"Zalophus wollebaeki","VU","EN","G","2008","Zalophus wollebaeki"
"Monachus schauinslandi","EN","CR","G","2008","Monachus schauinslandi"
"Hemigalus derbyanus","LR/lc","VU","G","2008","Hemigalus derbyanus"
"Paradoxurus zeylonensis","LR/lc","VU","G","2008","Paradoxurus zeylonensis"
"Cephalophus jentinki","VU","EN","G","2008","Cephalophus jentinki"
"Kobus megaceros","LR/nt","EN","G","2008","Kobus megaceros"
"Axis kuhlii","EN","CR","G","2008","Axis kuhlii"
"Hydropotes inermis","LR/nt","VU","G","2008","Hydropotes inermis"
"Rucervus eldii","VU","EN","G","2008","Rucervus eldii"
"Rusa timorensis","LR/lc","VU","G","2008","Rusa timorensis"
"Rusa unicolor","LR/lc","VU","G","2008","Rusa unicolor"
"Sus barbatus","LR/lc","VU","G","2008","Sus barbatus"
"Sus celebensis","LR/lc","NT","G","2008","Sus celebensis"
"Tayassu pecari","LR/lc","NT","G","2008","Tayassu pecari"
"Amorphochilus schnablii","VU","EN","G","2008","Amorphochilus schnablii"
"Coelops robinsoni","LR/nt","VU","G","2008","Coelops robinsoni"
"Tadarida johorensis","LR/nt","VU","G","2008","Tadarida johorensis"
"Tadarida mops","LR/lc","NT","G","2008","Tadarida mops"
"Nycteris tragata","LR/lc","NT","G","2008","Nycteris tragata"
"Lonchorhina fernandezi","VU","EN","G","2008","Lonchorhina fernandezi"
"Lonchorhina orinocensis","LR/nt","VU","G","2008","Lonchorhina orinocensis"
"Platyrrhinus chocoensis","VU","EN","G","2008","Platyrrhinus chocoensis"
"Acerodon mackloti","LR/lc","VU","G","2008","Acerodon mackloti"
"Eidolon helvum","LC","NT","G","2008","Eidolon helvum"
"Megaerops wetmorei","LR/lc","VU","G","2008","Megaerops wetmorei"
"Pteropus caniceps","LR/lc","NT","G","2008","Pteropus caniceps"
"Pteropus lylei","LR/lc","VU","G","2008","Pteropus lylei"
"Pteropus melanopogon","LR/lc","EN","G","2008","Pteropus melanopogon"
"Pteropus niger","VU","EN","G","2008","Pteropus niger"
"Pteropus temminckii","LR/nt","VU","G","2008","Pteropus temminckii"
"Pteropus vampyrus","LR/lc","NT","G","2008","Pteropus vampyrus"
"Pteropus woodfordi","LR/lc","VU","G","2008","Pteropus woodfordi"
"Rousettus bidens","LR/nt","VU","G","2008","Rousettus bidens"
"Styloctenium wallacei","LR/nt","VU","G","2008","Styloctenium wallacei"
"Rhinolophus cognatus","VU","EN","G","2008","Rhinolophus cognatus"
"Rhinolophus sedulus","LR/lc","NT","G","2008","Rhinolophus sedulus"
"Corynorhinus mexicanus","LR/lc","NT","G","2008","Corynorhinus mexicanus"
"Hesperoptenus tomesi","LR/lc","VU","G","2008","Hesperoptenus tomesi"
"Kerivoula pellucida","LR/lc","NT","G","2008","Kerivoula pellucida"
"Murina aenea","LR/nt","VU","G","2008","Murina aenea"
"Murina rozendaali","LR/nt","VU","G","2008","Murina rozendaali"
"Phoniscus atrox","LR/lc","NT","G","2008","Phoniscus atrox"
"Rhogeessa minutilla","LR/nt","VU","G","2008","Rhogeessa minutilla"
"Dasyurus hallucatus","LR/nt","EN","G","2008","Dasyurus hallucatus"
"Pseudantechinus bilarni","LR/lc","NT","G","2008","Pseudantechinus bilarni"
"Sarcophilus harrisii","LR/lc","EN","G","2008","Sarcophilus harrisii"
"Myrmecobius fasciatus","VU","EN","G","2008","Myrmecobius fasciatus"
"Burramys parvus","EN","CR","G","2008","Burramys parvus"
"Dendrolagus mbaiso","VU","CR","G","2008","Dendrolagus mbaiso"
"Dendrolagus scottae","EN","CR","G","2008","Dendrolagus scottae"
"Dorcopsis luctuosa","LR/lc","VU","G","2008","Dorcopsis luctuosa"
"Dorcopsulus vanheurni","LR/lc","NT","G","2008","Dorcopsulus vanheurni"
"Petaurus abidi","VU","CR","G","2008","Petaurus abidi"
