"accepted_id","accepted_name","synonym"
81,"Salmo ohridanus","Acantholingua ohridana"
81,"Salmo ohridanus","Salmo ohridanus"
254,"Acipenser stellatus","Acipenser stellatus"
182583188,"Acipenser stellatus","Acipenser stellatus"
232,"Acipenser gueldenstaedtii","Acipenser colchicus"
232,"Acipenser gueldenstaedtii","Acipenser gueldenstadti"
182569211,"Acipenser gueldenstaedtii","Acipenser gueldenstaedtii"
232,"Acipenser gueldenstaedtii","Acipenser gueldenstaedtii"
500,"Plebecula anaglyptica","Actinella anaglyptica"
500,"Plebecula anaglyptica","Helix anaglyptica"
500,"Plebecula anaglyptica","Plebecula anaglyptica"
503,"Domunculifex littorinella","Actinella effugiens"
503,"Domunculifex littorinella","Actinella littorinella"
503,"Domunculifex littorinella","Helix littorinella"
503,"Domunculifex littorinella","Domunculifex littorinella"
505,"Plebecula giramica","Actinella giramica"
505,"Plebecula giramica","Helix giramica"
505,"Plebecula giramica","Plebecula giramica"
701,"Agriades zullichi","Agriades zullichi"
701,"Agriades zullichi","Plebejus zullichi"
788,"Alburnus albidus","Leuciscus albidus"
788,"Alburnus albidus","Leuciscus vulturius"
788,"Alburnus albidus","Alburnus albidus"
857,"Allactaga major","Allactaga jaculus"
857,"Allactaga major","Allactaga major"
877,"Allognathus graellsianus","Helix graellsiana"
877,"Allognathus graellsianus","Allognathus graellsianus"
899,"Vulpes lagopus","Alopex lagopus"
899,"Vulpes lagopus","Canis lagopus"
899,"Vulpes lagopus","Vulpes lagopus"
903,"Alosa alosa","Alausa vulgaris"
903,"Alosa alosa","Alosa communis"
903,"Alosa alosa","Alosa cuvierii"
903,"Alosa alosa","Alosa rusa"
903,"Alosa alosa","Clupea alosa"
903,"Alosa alosa","Alosa alosa"
904,"Alosa fallax","Alosa fallax balticus"
904,"Alosa fallax","Alosa squamopinnata"
904,"Alosa fallax","Clupea fallax"
904,"Alosa fallax","Clupea finta"
904,"Alosa fallax","Alosa fallax"
905,"Alosa macedonica","Clupea macedonica"
905,"Alosa macedonica","Alosa macedonica"
907,"Alosa immaculata","Clupea pontica"
907,"Alosa immaculata","Alosa immaculata"
977,"Alytes muletensis","Baleaphryne muletensis"
977,"Alytes muletensis","Alytes muletensis"
1170,"Amphorella melampoides","Achatina tornatellina maxima"
1170,"Amphorella melampoides","Ferussacia melampoides"
1170,"Amphorella melampoides","Glandina melampoides"
1170,"Amphorella melampoides","Helix melampoides"
1170,"Amphorella melampoides","Lovea melampoides"
1170,"Amphorella melampoides","Amphorella melampoides"
1172,"Amphorella iridescens","Lovea iridescens"
1172,"Amphorella iridescens","Amphorella iridescens"
1199,"Anaecypris hispanica","Phoxinus hispanicus"
1199,"Anaecypris hispanica","Anaecypris hispanica"
1846,"Apricaphanius iberus","Aphanius iberus"
1846,"Apricaphanius iberus","Cyprinodon iberus"
1846,"Apricaphanius iberus","Apricaphanius iberus"
1847,"Aphanius fasciatus","Aphanius fasciatus"
1847,"Aphanius fasciatus","Aphanius nanus"
1847,"Aphanius fasciatus","Cyprinodon cyanogaster"
